razdel,razdel_name,vr,vr_name
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,812,"Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, подлежащие казначейскому сопровождению"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,813,"Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг, не подлежащие казначейскому сопровождению"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,831,Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению причиненного вреда
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,832,"Исполнение судебных актов судебных органов иностранных государств, международных судов и арбитражей, мировых соглашений, заключенных в рамках судебных процессов в судебных органах иностранных государств, в международных судах и арбитражах"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,851,Уплата налога на имущество организаций и земельного налога
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,852,"Уплата прочих налогов, сборов"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,853,Уплата иных платежей
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,862,Взносы в международные организации
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,870,Резервные средства
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",111,Фонд оплаты труда учреждений
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",112,"Иные выплаты персоналу учреждений, за исключением фонда оплаты труда"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",113,Иные выплаты учреждений привлекаемым лицам
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",119,Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",121,Фонд оплаты труда государственных (муниципальных) органов
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",122,"Иные выплаты персоналу государственных (муниципальных) органов, за исключением фонда оплаты труда"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",123,Иные выплаты государственных (муниципальных) органов привлекаемым лицам
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",129,Взносы по обязательному социальному страхованию на выплаты денежного содержания и иные выплаты работникам государственных (муниципальных) органов
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",242,"Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",243,"Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",244,"Прочая закупка товаров, работ и услуг"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",245,"Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд в области геодезии и картографии вне рамок государственного оборонного заказа"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",246,"Закупка товаров, работ и услуг в целях создания, развития, эксплуатации и вывода из эксплуатации государственных (муниципальных) информационных систем"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",247,Закупка энергетических ресурсов
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",321,"Пособия, компенсации и иные социальные выплаты гражданам, кроме публичных нормативных обязательств"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",323,"Приобретение товаров, работ и услуг в пользу граждан в целях их социального обеспечения"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",330,Публичные нормативные выплаты гражданам несоциального характера
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",340,Стипендии
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",350,Премии и гранты
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",360,Иные выплаты населению
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",412,Бюджетные инвестиции на приобретение объектов недвижимого имущества в государственную (муниципальную) собственность
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",414,Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",462,Субсидии на приобретение объектов недвижимого имущества в государственную (муниципальную) собственность автономным учреждениям
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",521,"Субсидии, за исключением субсидий на софинансирование капитальных вложений в объекты государственной (муниципальной) собственности"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",522,Субсидии на софинансирование капитальных вложений в объекты государственной (муниципальной) собственности
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",523,Консолидированные субсидии
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",530,Субвенции
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",540,Иные межбюджетные трансферты
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",611,Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ)
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",612,Субсидии бюджетным учреждениям на иные цели
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",621,Субсидии автономным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ)
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",622,Субсидии автономным учреждениям на иные цели
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",631,Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",632,"Субсидии (гранты в форме субсидий), подлежащие казначейскому сопровождению"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",633,"Субсидии (гранты в форме субсидий), не подлежащие казначейскому сопровождению"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",811,"Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",812,"Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, подлежащие казначейскому сопровождению"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",813,"Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг, не подлежащие казначейскому сопровождению"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",831,Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению причиненного вреда
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",832,"Исполнение судебных актов судебных органов иностранных государств, международных судов и арбитражей, мировых соглашений, заключенных в рамках судебных процессов в судебных органах иностранных государств, в международных судах и арбитражах"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",851,Уплата налога на имущество организаций и земельного налога
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",852,"Уплата прочих налогов, сборов"
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",853,Уплата иных платежей
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",862,Взносы в международные организации
0104,"Функционирование Правительства Российской Федерации, высших исполнительных органов субъектов Российской Федерации, местных администраций",870,Резервные средства
0105,Судебная система,111,Фонд оплаты труда учреждений
0105,Судебная система,112,"Иные выплаты персоналу учреждений, за исключением фонда оплаты труда"
0105,Судебная система,113,Иные выплаты учреждений привлекаемым лицам
0105,Судебная система,119,Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений
0105,Судебная система,121,Фонд оплаты труда государственных (муниципальных) органов
0105,Судебная система,122,"Иные выплаты персоналу государственных (муниципальных) органов, за исключением фонда оплаты труда"
0105,Судебная система,123,Иные выплаты государственных (муниципальных) органов привлекаемым лицам
0105,Судебная система,129,Взносы по обязательному социальному страхованию на выплаты денежного содержания и иные выплаты работникам государственных (муниципальных) органов
0105,Судебная система,242,"Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий"
0105,Судебная система,243,"Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества"
0105,Судебная система,244,"Прочая закупка товаров, работ и услуг"
0105,Судебная система,245,"Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд в области геодезии и картографии вне рамок государственного оборонного заказа"
0105,Судебная система,246,"Закупка товаров, работ и услуг в целях создания, развития, эксплуатации и вывода из эксплуатации государственных (муниципальных) информационных систем"
0105,Судебная система,247,Закупка энергетических ресурсов
0105,Судебная система,321,"Пособия, компенсации и иные социальные выплаты гражданам, кроме публичных нормативных обязательств"
