company,period,metric,value,actual_date
Самолёт,2025,revenue_prev,9434044.0,2026-04-01
Самолёт,2025,op_profit,14479519.0,2026-04-01
Самолёт,2025,net_profit,1585634.0,2026-04-01
А101,2023,assets,145345930.0,2024-03-22
А101,2023,assets_full,145345930.0,2024-03-22
А101,2023,revenue,12850402.0,2024-03-22
А101,2023,revenue_prev,36183365.0,2024-03-22
А101,2023,op_profit,6352166.0,2024-03-22
А101,2023,net_profit,-5021038.0,2024-03-22
А101,2021,assets,142083784.0,2022-03-25
А101,2021,assets_full,142083784.0,2022-03-25
А101,2021,revenue,19075736.0,2022-03-25
А101,2021,revenue_prev,22531260.0,2022-03-25
А101,2021,op_profit,12607751.0,2022-03-25
А101,2021,net_profit,1658558.0,2022-03-25
А101,2022,assets,146296709.0,2023-03-23
А101,2022,assets_full,146296709.0,2023-03-23
А101,2022,revenue,36183365.0,2023-03-23
А101,2022,revenue_prev,19075736.0,2023-03-23
А101,2022,op_profit,27167699.0,2023-03-23
А101,2022,net_profit,13593534.0,2023-03-23
А101,2025,assets,148874920.0,2026-03-24
А101,2025,assets_full,148874920.0,2026-03-24
А101,2025,revenue,21202430.0,2026-03-24
А101,2025,revenue_prev,10678994.0,2026-03-24
А101,2025,op_profit,12333934.0,2026-03-24
А101,2025,net_profit,16040081.0,2026-03-24
А101,2024,assets,142230264.0,2025-03-10
А101,2024,assets_full,142230264.0,2025-03-10
А101,2024,revenue,10678994.0,2025-03-10
А101,2024,revenue_prev,12850402.0,2025-03-10
А101,2024,op_profit,5609916.0,2025-03-10
А101,2024,net_profit,16114922.0,2025-03-10
Эталон,2023,assets,52354.0,2024-04-01
Эталон,2023,assets_full,52354.0,2024-04-01
Эталон,2023,revenue,59327.0,2024-04-01
Эталон,2023,revenue_prev,54673.0,2024-04-01
Эталон,2023,op_profit,-3020.0,2024-04-01
Эталон,2023,net_profit,-13789.0,2024-04-01
Эталон,2022,assets,68588.0,2023-12-20
Эталон,2022,assets_full,68588.0,2023-12-20
Эталон,2022,revenue,54673.0,2023-12-20
Эталон,2022,revenue_prev,55940.0,2023-12-20
Эталон,2022,op_profit,-1157.0,2023-12-20
Эталон,2022,net_profit,-42753.0,2023-12-20
Эталон,2021,assets,114111.0,2022-05-04
Эталон,2021,assets_full,114111.0,2022-05-04
Эталон,2021,revenue,55940.0,2022-05-04
Эталон,2021,revenue_prev,40056.0,2022-05-04
Эталон,2021,op_profit,4324.0,2022-05-04
Эталон,2021,net_profit,1233.0,2022-05-04
Эталон,2025,assets,49710.0,2026-03-31
Эталон,2025,assets_full,49710.0,2026-03-31
Эталон,2025,revenue,63304.0,2026-03-31
Эталон,2025,revenue_prev,68379.0,2026-03-31
Эталон,2025,op_profit,-9725.0,2026-03-31
Эталон,2025,net_profit,11729.0,2026-03-31
Эталон,2024,assets,47074.0,2025-03-24
Эталон,2024,assets_full,47074.0,2025-03-24
Эталон,2024,revenue,68379.0,2025-03-24
Эталон,2024,revenue_prev,59327.0,2025-03-24
Эталон,2024,op_profit,3703.0,2025-03-24
Эталон,2024,net_profit,-7669.0,2025-03-24
ДАРС,2021,assets,10.0,2022-03-16
ДАРС,2021,assets_full,10.0,2022-03-16
АПРИ,2022,assets,85327.0,2023-03-21
АПРИ,2022,assets_full,85327.0,2023-03-21
АПРИ,2022,revenue,6434.0,2023-03-21
АПРИ,2022,revenue_prev,7151.0,2023-03-21
АПРИ,2022,net_profit,66293.0,2023-03-21
АПРИ,2023,assets,72962.0,2024-04-01
АПРИ,2023,assets_full,72962.0,2024-04-01
АПРИ,2023,revenue,24556.0,2024-04-01
АПРИ,2023,revenue_prev,6434.0,2024-04-01
АПРИ,2023,net_profit,-25677.0,2024-04-01
АПРИ,2021,assets,18078.0,2022-03-31
АПРИ,2021,assets_full,18078.0,2022-03-31
АПРИ,2021,revenue,7151.0,2022-03-31
АПРИ,2021,revenue_prev,8184.0,2022-03-31
АПРИ,2021,net_profit,-1595.0,2022-03-31
АПРИ,2025,assets,83135.0,2026-03-25
АПРИ,2025,assets_full,83135.0,2026-03-25
АПРИ,2025,revenue,65188.0,2026-03-25
АПРИ,2025,revenue_prev,29488.0,2026-03-25
АПРИ,2025,net_profit,-30421.0,2026-03-25
АПРИ,2024,assets,55291.0,2025-03-27
АПРИ,2024,assets_full,55291.0,2025-03-27
АПРИ,2024,revenue,29488.0,2025-03-27
АПРИ,2024,revenue_prev,24556.0,2025-03-27
АПРИ,2024,net_profit,-14632.0,2025-03-27
ЛСР,2021,assets,17429.0,2022-03-25
ЛСР,2021,assets_full,17429.0,2022-03-25
ЛСР,2021,revenue,14483.0,2022-03-25
ЛСР,2021,net_profit,38.0,2022-03-25
Главстрой,2022,assets,210762.0,2023-03-30
Главстрой,2022,assets_full,210762.0,2023-03-30
Главстрой,2022,revenue,351053.0,2023-03-30
Главстрой,2022,revenue_prev,483710.0,2023-03-30
Главстрой,2022,op_profit,16915.0,2023-03-30
Главстрой,2022,net_profit,13475.0,2023-03-30
Главстрой,2021,assets,215429.0,2022-03-30
Главстрой,2021,assets_full,215429.0,2022-03-30
Главстрой,2021,revenue,483710.0,2022-03-30
Главстрой,2021,revenue_prev,146242.0,2022-03-30
Главстрой,2021,op_profit,51674.0,2022-03-30
Главстрой,2021,net_profit,52123.0,2022-03-30
Главстрой,2024,assets,399864.0,2025-03-25
Главстрой,2024,assets_full,399864.0,2025-03-25
Главстрой,2024,revenue,431626.0,2025-03-25
Главстрой,2024,revenue_prev,708495.0,2025-03-25
Главстрой,2024,op_profit,38318.0,2025-03-25
Главстрой,2024,net_profit,12243.0,2025-03-25
Главстрой,2023,assets,322834.0,2024-04-03
Главстрой,2023,assets_full,322834.0,2024-04-03
Главстрой,2023,revenue,708495.0,2024-04-03
Главстрой,2023,revenue_prev,351053.0,2024-04-03
Главстрой,2023,op_profit,32451.0,2024-04-03
Главстрой,2023,net_profit,23014.0,2024-04-03
Главстрой,2025,assets,753444.0,2026-03-30
Главстрой,2025,assets_full,753444.0,2026-03-30
Главстрой,2025,revenue,543976.0,2026-03-30
Главстрой,2025,revenue_prev,431626.0,2026-03-30
Главстрой,2025,op_profit,78704.0,2026-03-30
Главстрой,2025,net_profit,52740.0,2026-03-30
Брусника,2025,assets,516747.0,2026-07-31
Брусника,2025,assets_full,516747.0,2026-07-31
Брусника,2025,revenue,261266.0,2026-07-31
Брусника,2025,revenue_prev,911148.0,2026-07-31
Брусника,2025,op_profit,-56036.0,2026-07-31
Брусника,2025,net_profit,-40684.0,2026-07-31
Брусника,2024,assets,558674.0,2025-03-25
Брусника,2024,assets_full,558674.0,2025-03-25
Брусника,2024,revenue,911148.0,2025-03-25
Брусника,2024,revenue_prev,320186.0,2025-03-25
Брусника,2024,op_profit,51540.0,2025-03-25
Брусника,2024,net_profit,88149.0,2025-03-25
Брусника,2023,assets,487607.0,2024-02-19
Брусника,2023,assets_full,487607.0,2024-02-19
Брусника,2023,revenue,320186.0,2024-02-19
Брусника,2023,op_profit,8919.0,2024-02-19
Брусника,2023,net_profit,5344.0,2024-02-19
Крост,2021,assets,12.0,2022-01-10
Крост,2021,assets_full,12.0,2022-01-10
Крост,2021,net_profit,-2604.0,2022-01-10
