raw_name,count,region_code,canonical_name,level,method,sources
Ставропольский край,20354,stavropol,Ставропольский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Белгородская область,20351,belgorod,Белгородская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Саха (Якутия),20346,sakha,Республика Саха (Якутия),region,exact-norm,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Башкортостан,20344,bashkortostan,Республика Башкортостан,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Смоленская область,20336,smolensk,Смоленская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Астраханская область,20323,astrakhan,Астраханская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Томская область,20323,tomsk,Томская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Бурятия,20321,buryatia,Республика Бурятия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Курская область,20307,kursk,Курская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Сахалинская область,20292,sakhalin,Сахалинская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Карелия,20272,karelia,Республика Карелия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Рязанская область,20270,ryazan,Рязанская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Волгоградская область,20269,volgograd,Волгоградская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Ивановская область,20266,ivanovo,Ивановская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Забайкальский край,20264,zabaikalsk,Забайкальский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Брянская область,20257,bryansk,Брянская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Удмуртская Республика,20255,udmurtia,Удмуртская Республика,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Орловская область,20253,oryol,Орловская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Кабардино-Балкарская Республика,20252,kabardino,Кабардино-Балкарская Республика,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Тамбовская область,20246,tambov,Тамбовская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Марий Эл,20226,marij_el,Республика Марий Эл,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Липецкая область,20217,lipetsk,Липецкая область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Пензенская область,20214,penza,Пензенская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Камчатский край,20212,kamchatka,Камчатский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Новгородская область,20196,novgorod,Новгородская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Алтайский край,20185,altai_terr,Алтайский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Коми,20183,komi,Республика Коми,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Псковская область,20167,pskov,Псковская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Амурская область,20159,amur,Амурская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Ульяновская область,20157,ulyanovsk,Ульяновская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Хакасия,20156,khakasia,Республика Хакасия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Мордовия,20154,mordovia,Республика Мордовия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Мурманская область,20148,murmansk,Мурманская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Костромская область,20146,kostroma,Костромская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Кировская область,20137,kirov,Кировская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Дагестан,20064,dagestan,Республика Дагестан,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Курганская область,20046,kurgan,Курганская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Тыва,20042,tuva,Республика Тыва,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Алтай,19988,altai_rep,Республика Алтай,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Карачаево-Черкесская Республика,19974,karachaevo,Карачаево-Черкесская Республика,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Калмыкия,19938,kalmykia,Республика Калмыкия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Магаданская область,19897,magadan,Магаданская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Крым,19892,crimea,Республика Крым,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Чеченская Республика,19858,chechnya,Чеченская Республика,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Республика Ингушетия,19841,ingushetia,Республика Ингушетия,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Тюменская область,17210,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,"cbr_lending,rosreestr_deals,rosstat_construction"
tatarstan,17163,tatarstan,Республика Татарстан,region,exact,fns_tochno_sectors
Архангельская область,17109,arkhangelsk,Архангельская область (без НАО),region,exact,"cbr_lending,rosreestr_deals,rosstat_construction"
г. Санкт-Петербург,16629,spb,Санкт-Петербург,region,canonical,"cbr_lending,rosreestr_deals,rosstat_construction"
Республика Татарстан (Татарстан),16565,tatarstan,Республика Татарстан,region,exact-norm,"cbr_lending,rosreestr_deals,rosstat_construction"
Чувашская Республика - Чувашия,16403,chuvashia,Чувашская Республика,region,exact,"cbr_lending,rosstat_construction"
Республика Северная Осетия - Алания,16321,north_ossetia,Республика Северная Осетия — Алания,region,exact,"cbr_lending,rosreestr_deals,rosstat_construction"
г. Москва,16236,moscow,Москва,region,canonical,"cbr_lending,rosreestr_deals,rosstat_construction"
Республика Адыгея (Адыгея),16154,adygea,Республика Адыгея,region,exact-norm,"cbr_lending,rosstat_construction"
г. Севастополь,16003,sevastopol,Севастополь,region,canonical,"cbr_lending,rosreestr_deals,rosstat_construction"
Кемеровская область - Кузбасс,15463,kemerovo,Кемеровская область — Кузбасс,region,exact,"cbr_lending,rosreestr_deals,rosstat_construction"
krasnodar,14735,krasnodar,Краснодарский край,region,exact,fns_tochno_sectors
sverdlovsk,14240,sverdlovsk,Свердловская область,region,exact,fns_tochno_sectors
bashkortostan,13031,bashkortostan,Республика Башкортостан,region,exact,fns_tochno_sectors
samara,12812,samara,Самарская область,region,exact,fns_tochno_sectors
Российская Федерация,12804,ru,,country,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Еврейская автономная область,11583,jewish_ao,Еврейская автономная область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
novosibirsk,11322,novosibirsk,Новосибирская область,region,exact,fns_tochno_sectors
Чукотский автономный округ,10739,chukotka,Чукотский автономный округ,region,exact,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
nizhni novgorod,9450,nizhni,Нижегородская область,region,exact,fns_tochno_sectors
chelyabinsk,9090,chelyabinsk,Челябинская область,region,exact,fns_tochno_sectors
Дальневосточный ФО,8376,dfd,Дальневосточный федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Приволжский ФО,8376,pfd,Приволжский федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Северо-Западный ФО,8376,szfd,Северо-Западный федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Сибирский ФО,8376,sfd,Сибирский федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Уральский ФО,8376,urfd,Уральский федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Центральный ФО,8376,cfd,Центральный федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Южный ФО,8376,ufd,Южный федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Северо-Кавказский ФО,8375,skfd,Северо-Кавказский федеральный округ,federal_district,exact,"cbr_lending,rosstat_construction"
Ямало-Ненецкий АО,8103,yamal,Ямало-Ненецкий автономный округ,region,exact,"rosreestr_deals,rosstat_construction"
Ханты-Мансийский АО - Югра,8031,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,"rosreestr_deals,rosstat_construction"
Чукотский АО,7999,chukotka,Чукотский автономный округ,region,exact,"rosreestr_deals,rosstat_construction"
Ненецкий АО,7984,nenets_ao,Ненецкий автономный округ,region,exact,"rosreestr_deals,rosstat_construction"
Еврейская АО,7929,jewish_ao,Еврейская автономная область,region,exact,rosstat_construction
Донецкая Народная Республика,7919,dnr,Донецкая Народная Республика,region,canonical,rosstat_construction
Луганская Народная Республика,7912,lnr,Луганская Народная Республика,region,canonical,rosstat_construction
Херсонская область,7900,kherson,Херсонская область,region,canonical,rosstat_construction
Запорожская область,7892,zaporozhye,Запорожская область,region,canonical,rosstat_construction
rostov,7651,rostov,Ростовская область,region,exact,fns_tochno_sectors
РОССИЙСКАЯ ФЕДЕРАЦИЯ,7498,ru,,country,exact,"cbr_lending,rosstat_construction"
krasnoyarsk,7464,krasnoyarsk,Красноярский край,region,exact,fns_tochno_sectors
perm,7333,perm,Пермский край,region,exact,fns_tochno_sectors
в том числе Ханты-Мансийский автономный округ - Югра,6568,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,"cbr_lending,rosstat_construction"
в том числе Ямало-Ненецкий автономный округ,6550,yamal,Ямало-Ненецкий автономный округ,region,exact,"cbr_lending,rosstat_construction"
voronezh,6483,voronezh,Воронежская область,region,exact,fns_tochno_sectors
tyumen,6457,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,fns_tochno_sectors
vologda,6378,vologda,Вологодская область,region,exact,fns_tochno_sectors
в том числе Ненецкий автономный округ,6345,nenets_ao,Ненецкий автономный округ,region,exact,"cbr_lending,rosstat_construction"
Архангельская область без данных по Ненецкому автономному округу,5881,arkhangelsk,Архангельская область (без НАО),region,exact,"cbr_lending,rosstat_construction"
Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу,5847,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,"cbr_lending,rosstat_construction"
irkutsk,5755,irkutsk,Иркутская область,region,exact,fns_tochno_sectors
omsk,5511,omsk,Омская область,region,exact,fns_tochno_sectors
primorsky terr.,5404,primorsky,Приморский край,region,exact-norm,fns_tochno_sectors
yaroslavl,4953,yaroslavl,Ярославская область,region,exact,fns_tochno_sectors
altai terr.,4948,altai_terr,Алтайский край,region,exact-norm,fns_tochno_sectors
Кемеровская область,4884,kemerovo,Кемеровская область — Кузбасс,region,exact,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4713,cfd,Центральный федеральный округ,federal_district,exact,rosstat_construction
kaliningrad,4647,kaliningrad,Калининградская область,region,exact,fns_tochno_sectors
udmurtia,4532,udmurtia,Удмуртская Республика,region,exact,fns_tochno_sectors
Ямало-Ненецкий автономный округ,4466,yamal,Ямало-Ненецкий автономный округ,region,exact,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4456,sfd,Сибирский федеральный округ,federal_district,exact,rosstat_construction
khanty-mansijsk,4445,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,fns_tochno_sectors
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4433,pfd,Приволжский федеральный округ,federal_district,exact,rosstat_construction
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4429,szfd,Северо-Западный федеральный округ,federal_district,exact,rosstat_construction
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4335,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
khabarovsk,4335,khabarovsk,Хабаровский край,region,exact,fns_tochno_sectors
dagestan,4330,dagestan,Республика Дагестан,region,exact,fns_tochno_sectors
belgorod,4278,belgorod,Белгородская область,region,exact,fns_tochno_sectors
Центральный федеральный округ,4276,cfd,Центральный федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Северо-Западный федеральный округ,4264,szfd,Северо-Западный федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4258,dfd,Дальневосточный федеральный округ,federal_district,exact,rosstat_construction
Ненецкий автономный округ,4248,nenets_ao,Ненецкий автономный округ,region,exact,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4247,urfd,Уральский федеральный округ,federal_district,exact,rosstat_construction
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,4229,skfd,Северо-Кавказский федеральный округ,federal_district,exact,rosstat_construction
Приволжский федеральный округ,4189,pfd,Приволжский федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Уральский федеральный округ,4186,urfd,Уральский федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Северо-Кавказский федеральный округ,4129,skfd,Северо-Кавказский федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Дальневосточный федеральный округ,4068,dfd,Дальневосточный федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Сибирский федеральный округ,4051,sfd,Сибирский федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
Южный федеральный округ,3957,ufd,Южный федеральный округ,federal_district,exact,"regions_panel,rosreestr_deals,rosstat_construction"
saratov,3890,saratov,Саратовская область,region,exact,fns_tochno_sectors
Республика Адыгея,3884,adygea,Республика Адыгея,region,canonical,"regions_panel,rosreestr_deals,rosstat_construction"
Республика Татарстан,3853,tatarstan,Республика Татарстан,region,canonical,"regions_panel,rosreestr_deals,rosstat_construction"
Чувашская Республика,3847,chuvashia,Чувашская Республика,region,canonical,"regions_panel,rosreestr_deals,rosstat_construction"
stavropol,3733,stavropol,Ставропольский край,region,exact,fns_tochno_sectors
kemerovo,3655,kemerovo,Кемеровская область — Кузбасс,region,exact,fns_tochno_sectors
leningrad,3618,leningrad,Ленинградская область,region,exact,fns_tochno_sectors
tula,3495,tula,Тульская область,region,exact,fns_tochno_sectors
crimea,3429,crimea,Республика Крым,region,exact,fns_tochno_sectors
yakutia,3348,sakha,Республика Саха (Якутия),region,exact,fns_tochno_sectors
volgograd,3277,volgograd,Волгоградская область,region,exact,fns_tochno_sectors
Тюменская область (без автономных округов),3257,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,"regions_panel,rosstat_construction"
orenburg,3235,orenburg,Оренбургская область,region,exact,fns_tochno_sectors
Республика Северная Осетия — Алания,3223,north_ossetia,Республика Северная Осетия — Алания,region,exact,"regions_panel,rosreestr_deals"
Тюменская область (с автономными округами),3221,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,regions_panel
tver,3220,tver,Тверская область,region,exact,fns_tochno_sectors
Архангельская область (с автономным округом),3218,arkhangelsk,Архангельская область (без НАО),region,exact,regions_panel
Ханты-Мансийский автономный округ — Югра,3203,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,regions_panel
Севастополь,3197,sevastopol,Севастополь,region,canonical,"regions_panel,rosreestr_deals"
Архангельская область (без автономного округа),3185,arkhangelsk,Архангельская область (без НАО),region,exact,regions_panel
ivanovo,3168,ivanovo,Ивановская область,region,exact,fns_tochno_sectors
ryazan,3157,ryazan,Рязанская область,region,exact,fns_tochno_sectors
Москва,3113,moscow,Москва,region,canonical,"regions_panel,rosreestr_deals"
Санкт-Петербург,3065,spb,Санкт-Петербург,region,canonical,"regions_panel,rosreestr_deals"
smolensk,2989,smolensk,Смоленская область,region,exact,fns_tochno_sectors
lipetzk,2987,lipetsk,Липецкая область,region,exact,fns_tochno_sectors
tomsk,2862,tomsk,Томская область,region,exact,fns_tochno_sectors
kaluga,2649,kaluga,Калужская область,region,exact,fns_tochno_sectors
kirov,2560,kirov,Кировская область,region,exact,fns_tochno_sectors
chuvashia,2532,chuvashia,Чувашская Республика,region,exact,fns_tochno_sectors
ulyanovsk,2527,ulyanovsk,Ульяновская область,region,exact,fns_tochno_sectors
vladimir,2410,vladimir,Владимирская область,region,exact,fns_tochno_sectors
kursk,2302,kursk,Курская область,region,exact,fns_tochno_sectors
penza,2238,penza,Пензенская область,region,exact,fns_tochno_sectors
buryatia,2137,buryatia,Республика Бурятия,region,exact,fns_tochno_sectors
karelia,2097,karelia,Республика Карелия,region,exact,fns_tochno_sectors
arkhangelsk,2036,arkhangelsk,Архангельская область (без НАО),region,exact,fns_tochno_sectors
sakhalin,1823,sakhalin,Сахалинская область,region,exact,fns_tochno_sectors
chechnya,1681,chechnya,Чеченская Республика,region,exact,fns_tochno_sectors
tambov,1642,tambov,Тамбовская область,region,exact,fns_tochno_sectors
bryansk,1631,bryansk,Брянская область,region,exact,fns_tochno_sectors
komi,1595,komi,Республика Коми,region,exact,fns_tochno_sectors
amur,1588,amur,Амурская область,region,exact,fns_tochno_sectors
kostroma,1495,kostroma,Костромская область,region,exact,fns_tochno_sectors
sevastopol,1424,sevastopol,Севастополь,region,exact,fns_tochno_sectors
oryol,1416,oryol,Орловская область,region,exact,fns_tochno_sectors
novgorod,1347,novgorod,Новгородская область,region,exact,fns_tochno_sectors
murmansk,1341,murmansk,Мурманская область,region,exact,fns_tochno_sectors
astrakhan,1326,astrakhan,Астраханская область,region,exact,fns_tochno_sectors
zabaikalsk terr.,1323,zabaikalsk,Забайкальский край,region,exact-norm,fns_tochno_sectors
yamal-nenets ao,1309,yamal,Ямало-Ненецкий автономный округ,region,exact,fns_tochno_sectors
pskov,1303,pskov,Псковская область,region,exact,fns_tochno_sectors
mordovia,1196,mordovia,Республика Мордовия,region,exact,fns_tochno_sectors
ingushetia,1153,ingushetia,Республика Ингушетия,region,exact,fns_tochno_sectors
kurgan,1143,kurgan,Курганская область,region,exact,fns_tochno_sectors
marij el,1068,marij_el,Республика Марий Эл,region,exact,fns_tochno_sectors
Ханты-Мансийский автономный округ - Югра,1055,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,"cbr_lending,rosreestr_deals,rosstat_construction"
kamchatka,1030,kamchatka,Камчатский край,region,exact,fns_tochno_sectors
kabardino-balkaria,1013,kabardino,Кабардино-Балкарская Республика,region,exact,fns_tochno_sectors
north ossetia,940,north_ossetia,Республика Северная Осетия — Алания,region,exact,fns_tochno_sectors
khakasia,844,khakasia,Республика Хакасия,region,exact,fns_tochno_sectors
adygeya,656,adygea,Республика Адыгея,region,exact,fns_tochno_sectors
karachaevo-chercessia,644,karachaevo,Карачаево-Черкесская Республика,region,exact,fns_tochno_sectors
Российская Федерация (без г. Москва),636,ru,,country,exact,rosstat_construction
г. Москва1,636,moscow,Москва,region,canonical,rosstat_construction
Всего,589,ru,,country,exact,rosstat_construction
altai rep.,454,altai_rep,Республика Алтай,region,exact-norm,fns_tochno_sectors
Республика Северная Осетия-Алания,441,north_ossetia,Республика Северная Осетия — Алания,region,exact,"rosreestr_deals,rosstat_construction"
donetsk,437,dnr,Донецкая Народная Республика,region,exact,fns_tochno_sectors
Город Санкт-Петербург,372,spb,Санкт-Петербург,region,canonical,"rosreestr_deals,rosstat_construction"
kalmykia,351,kalmykia,Республика Калмыкия,region,exact,fns_tochno_sectors
Итого по РФ,340,ru,,country,exact,cbr_lending
Архангельская область (кроме Ненецкого автономного округа),333,arkhangelsk,Архангельская область (без НАО),region,exact,"rosreestr_deals,rosstat_construction"
г.Санкт-Петербург,326,spb,Санкт-Петербург,region,canonical,"rosreestr_deals,rosstat_construction"
Город Москва,323,moscow,Москва,region,canonical,"rosreestr_deals,rosstat_construction"
magadan,315,magadan,Магаданская область,region,exact,fns_tochno_sectors
г.Москва,300,moscow,Москва,region,canonical,"rosreestr_deals,rosstat_construction"
tuva,298,tuva,Республика Тыва,region,exact,fns_tochno_sectors
Архангельская область без автономного округа,268,arkhangelsk,Архангельская область (без НАО),region,exact-norm,"rosreestr_deals,rosstat_construction"
г.Севастополь,251,sevastopol,Севастополь,region,canonical,"rosreestr_deals,rosstat_construction"
Чукотский авт.округ,206,chukotka,Чукотский автономный округ,region,exact,rosstat_construction
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),185,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosstat_construction
Еврейская авт.область,184,jewish_ao,Еврейская автономная область,region,exact,rosstat_construction
в том числе Ненецкий авт.округ,184,nenets_ao,Ненецкий автономный округ,region,exact,rosstat_construction
Тюменская область без авт. округов,179,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,rosstat_construction
luhansk,177,lnr,Луганская Народная Республика,region,exact,fns_tochno_sectors
jewish ao,174,jewish_ao,Еврейская автономная область,region,exact,fns_tochno_sectors
Тюменская область без автономных округов,170,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,"rosreestr_deals,rosstat_construction"
Дальневосточный федеральный округ3,168,dfd,Дальневосточный федеральный округ,federal_district,exact,"rosreestr_deals,rosstat_construction"
Ямало-Ненецкий авт. округ,162,yamal,Ямало-Ненецкий автономный округ,region,exact,rosstat_construction
Архангельская область без авт. округа.,158,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Ханты-Мансийский авт. округ - Югра,158,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Кемеровская область-Кузбасс,136,kemerovo,Кемеровская область — Кузбасс,region,exact,"rosreestr_deals,rosstat_construction"
Город Севастополь,127,sevastopol,Севастополь,region,canonical,rosstat_construction
Приволжский               федеральный округ,109,pfd,Приволжский федеральный округ,federal_district,exact,rosreestr_deals
"Тюменская область 
без автономных округов",109,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,rosreestr_deals
Уральский             федеральный округ,109,urfd,Уральский федеральный округ,federal_district,exact,rosreestr_deals
в том числе:                     Ханты-Мансийский       автономный округ - Югра,109,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosreestr_deals
в том числе: Ханты-Мансийский автономный округ - Югра,106,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Республика Северная  Осетия - Алания,105,north_ossetia,Республика Северная Осетия — Алания,region,exact,rosreestr_deals
nenets ao,95,nenets_ao,Ненецкий автономный округ,region,exact,fns_tochno_sectors
Республика Северная Осетия,89,north_ossetia,Республика Северная Осетия — Алания,region,exact,"rosreestr_deals,rosstat_construction"
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа),88,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosstat_construction
в том числе               Ненецкий автономный округ,85,nenets_ao,Ненецкий автономный округ,region,exact,rosreestr_deals
Сибирский федеральный округ3,84,sfd,Сибирский федеральный округ,federal_district,exact,rosstat_construction
Южный федеральный округ2,84,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
Северо-Кавказский                 федеральный округ,84,skfd,Северо-Кавказский федеральный округ,federal_district,exact,rosreestr_deals
Сибирский           федеральный округ3,84,sfd,Сибирский федеральный округ,federal_district,exact,rosreestr_deals
Южный                   федеральный округ2,84,ufd,Южный федеральный округ,federal_district,exact,rosreestr_deals
Ненецкий автономный округ (Архангельская область),76,nenets_ao,Ненецкий автономный округ,region,exact,rosstat_construction
Ханты-Мансийский автономный округ - Югра (Тюменская область),76,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Ямало-Ненецкий автономный округ (Тюменская область),76,yamal,Ямало-Ненецкий автономный округ,region,exact,rosstat_construction
