month,query,n_days,vol_mean
2023-12,special equipment,31,0.039
2024-01,construction company,31,0.044
2024-01,developer,31,0.022
2024-01,infrastructure project,31,0.016
2024-01,residential complex,31,0.017
2024-01,special equipment,31,0.031
2024-02,construction company,29,0.053
2024-02,developer,29,0.026
2024-02,infrastructure project,29,0.023
2024-02,residential complex,29,0.019
2024-02,special equipment,29,0.037
2024-03,construction company,31,0.049
2024-03,developer,31,0.025
2024-03,infrastructure project,31,0.019
2024-03,residential complex,31,0.018
2024-03,special equipment,31,0.034
2024-04,construction company,30,0.059
2024-04,developer,30,0.027
2024-04,infrastructure project,30,0.023
2024-04,residential complex,30,0.025
2024-04,special equipment,30,0.036
2024-05,construction company,31,0.052
2024-05,developer,31,0.025
2024-05,infrastructure project,31,0.018
2024-05,residential complex,31,0.021
2024-05,special equipment,31,0.035
2024-06,construction company,30,0.059
2024-06,developer,30,0.026
2024-06,infrastructure project,30,0.023
2024-06,residential complex,30,0.019
2024-06,special equipment,30,0.034
2024-07,construction company,31,0.059
2024-07,developer,31,0.026
2024-07,infrastructure project,31,0.025
2024-07,residential complex,31,0.02
2024-07,special equipment,31,0.037
2024-08,construction company,31,0.057
2024-08,developer,31,0.026
2024-08,infrastructure project,31,0.022
2024-08,residential complex,31,0.024
2024-08,special equipment,31,0.035
2024-09,construction company,30,0.059
2024-09,developer,30,0.026
2024-09,infrastructure project,30,0.026
2024-09,residential complex,30,0.024
2024-09,special equipment,30,0.036
2024-10,construction company,31,0.059
2024-10,developer,31,0.029
2024-10,infrastructure project,31,0.025
2024-10,residential complex,31,0.023
2024-10,special equipment,31,0.035
2024-11,construction company,30,0.055
2024-11,developer,30,0.026
2024-11,infrastructure project,30,0.026
2024-11,residential complex,30,0.021
2024-11,special equipment,30,0.04
2024-12,construction company,31,0.064
2024-12,developer,31,0.029
2024-12,infrastructure project,31,0.028
2024-12,residential complex,31,0.028
2024-12,special equipment,31,0.043
2025-01,construction company,31,0.046
2025-01,residential complex,31,0.017
2025-02,construction company,28,0.059
2025-02,residential complex,28,0.029
2025-03,construction company,31,0.056
2025-03,residential complex,31,0.022
2025-04,construction company,30,0.057
2025-04,residential complex,30,0.023
2025-05,construction company,31,0.051
2025-05,residential complex,31,0.019
2025-06,construction company,14,0.054
2025-06,residential complex,14,0.021
2025-07,construction company,30,0.058
2025-07,residential complex,30,0.024
2025-08,construction company,31,0.06
2025-08,residential complex,31,0.027
2025-09,construction company,30,0.068
2025-09,residential complex,30,0.024
2025-10,construction company,31,0.064
2025-10,residential complex,31,0.025
2025-11,construction company,30,0.065
2025-11,residential complex,30,0.028
2025-12,construction company,31,0.073
2025-12,residential complex,31,0.029
2026-01,construction company,31,0.047
2026-01,construction project,31,0.035
2026-01,developer,31,0.024
2026-01,special equipment,31,0.043
2026-02,construction company,28,0.059
2026-02,construction project,28,0.042
2026-02,developer,28,0.034
2026-02,special equipment,28,0.042
2026-03,construction company,31,0.054
2026-03,construction project,31,0.041
2026-03,developer,31,0.029
2026-03,special equipment,31,0.041
2026-04,construction company,30,0.06
2026-04,construction project,30,0.046
2026-04,developer,30,0.035
2026-04,special equipment,30,0.041
2026-05,construction company,31,0.053
2026-05,construction project,31,0.042
2026-05,developer,31,0.029
2026-05,special equipment,31,0.04
2026-06,construction company,30,0.064
2026-06,construction project,30,0.053
2026-06,developer,30,0.032
2026-06,special equipment,30,0.044
2026-07,construction company,27,0.06
2026-07,construction project,27,0.048
2026-07,developer,27,0.032
2026-07,special equipment,27,0.046
2026-08,construction company,30,0.058
2026-08,construction project,30,0.047
2026-08,developer,30,0.029
2026-08,special equipment,30,0.045
