,ЦФО,СЗФО,ПФО,Юг,Сибирь,ДВ,Урал
2024-08-01,-0.7524,-1.1439,-0.9066,-0.7557,-0.6049,-0.4938,-1.0230
2024-09-01,-0.2553,0.0316,-0.3768,-0.6078,-0.4680,0.0729,-0.2435
2024-10-01,1.3522,0.8185,1.2600,-0.1098,1.2170,1.1639,1.3244
2024-11-01,0.6556,-0.1681,-0.9496,-0.4111,-1.3653,-1.4461,-0.9080
2024-12-01,-0.1036,-2.3623,-1.6736,-1.7789,-1.4549,-2.0136,-1.2526
2025-01-01,1.5005,3.0727,3.0347,2.6700,3.2404,3.7644,3.6519
2025-02-01,-1.7669,-1.1027,-1.2256,-1.1271,-1.2359,-1.4761,-1.4193
2025-03-01,0.6575,0.9622,0.8621,0.5752,1.1872,0.9720,0.1490
2025-04-01,-2.1337,-1.8520,-2.6679,-2.0626,-2.3527,-1.8733,-2.1640
2025-05-01,-0.9282,-1.0629,-1.4447,4.0292,-1.4274,-1.1398,-1.2979
2025-06-01,1.2363,1.0283,1.5083,-2.8484,0.5986,0.6522,1.0751
2025-07-01,1.6092,1.1764,1.6189,1.5598,1.9074,1.7267,1.8480
2025-08-01,-0.5736,0.1303,-0.0964,-0.1486,-0.1228,0.1561,-0.3943
2025-09-01,-0.4391,0.3954,0.3798,-0.5275,-0.1445,0.1669,-0.0038
2025-10-01,1.8074,1.4921,2.0396,0.6953,1.5760,0.7588,1.5927
2025-11-01,-0.0826,0.0709,0.9193,0.4898,0.6045,0.3468,0.5401
2025-12-01,-2.2044,-1.7926,-1.9680,-1.8541,-1.9936,-1.9734,-2.2142
2026-01-01,2.1485,2.5034,2.2080,2.2570,2.9187,2.8951,3.1103
2026-02-01,-2.6957,-2.6649,-3.0796,-2.3259,-2.8323,-2.8901,-3.3203
2026-03-01,1.0622,1.4775,1.1802,0.9752,1.2962,1.3894,1.2659
2026-04-01,0.0477,-0.8455,-0.7279,-1.0125,-0.5777,-0.0340,-0.5152
2026-05-01,-2.1242,-1.8228,-2.2841,-0.7166,-1.1865,-1.5568,-1.9641
2026-06-01,0.0480,0.0801,1.3471,0.5478,-0.2485,-0.0740,0.6514
2026-07-01,0.6468,0.3867,0.0515,0.5699,0.6783,0.1092,-0.0448
