date,query,avg_tone,vol_index
20170121,mortgage Russia,-1.8092,0.0181
20170121,mortgage sourcecountry:RS,-0.209,0.0099
20170122,"""real estate"" Russia",-1.7025,0.1772
20170122,housing Russia,-1.5322,0.1364
20170122,mortgage Russia,-0.8699,0.011
20170122,mortgage sourcecountry:RS,0.532,0.0081
20170123,"""real estate"" Russia",-1.0638,0.0978
20170123,housing Russia,-1.357,0.0601
20170123,mortgage Russia,-1.5705,0.012
20170123,mortgage sourcecountry:RS,0.423,0.0162
20170124,"""real estate"" Russia",-1.3438,0.0717
20170124,housing Russia,-1.0717,0.0772
20170124,mortgage Russia,-2.5672,0.0119
20170124,mortgage sourcecountry:RS,1.8233,0.0148
20170125,"""real estate"" Russia",-1.5858,0.0829
20170125,housing Russia,-1.0091,0.0744
20170125,mortgage Russia,-0.9555,0.0039
20170125,mortgage sourcecountry:RS,0.1987,0.0136
20170126,"""real estate"" Russia",-1.3862,0.0416
20170126,housing Russia,-1.6409,0.0502
20170126,mortgage Russia,-2.3922,0.008
20170126,mortgage sourcecountry:RS,-0.1505,0.0185
20170127,"""real estate"" Russia",-1.3818,0.0733
20170127,housing Russia,-1.7721,0.0683
20170127,mortgage Russia,-1.6514,0.0065
20170127,mortgage sourcecountry:RS,0.6258,0.0133
20170128,"""real estate"" Russia",-1.8955,0.0935
20170128,housing Russia,-1.3964,0.0589
20170128,mortgage Russia,-1.8561,0.0063
20170128,mortgage sourcecountry:RS,0.198,0.0052
20170129,"""real estate"" Russia",-1.3969,0.0488
20170129,housing Russia,-1.4036,0.0524
20170129,mortgage Russia,-2.6894,0.0096
20170129,mortgage sourcecountry:RS,-0.5299,0.0071
20170130,"""real estate"" Russia",-1.428,0.038
20170130,housing Russia,-1.4121,0.0542
20170130,mortgage Russia,-3.3072,0.0192
20170130,mortgage sourcecountry:RS,-0.7857,0.0175
20170131,"""real estate"" Russia",-0.997,0.0378
20170131,housing Russia,-1.2463,0.0977
20170131,mortgage Russia,-2.5255,0.0967
20170131,mortgage sourcecountry:RS,-0.1768,0.0176
20170201,"""real estate"" Russia",-1.2943,0.0297
20170201,housing Russia,-1.8199,0.194
20170201,mortgage Russia,-1.9122,0.1546
20170201,mortgage sourcecountry:RS,-0.1396,0.0206
20170202,"""real estate"" Russia",-0.8725,0.0524
20170202,housing Russia,-2.3395,0.148
20170202,mortgage Russia,-2.143,0.0403
20170202,mortgage sourcecountry:RS,-0.2306,0.0129
20170203,"""real estate"" Russia",-0.9065,0.0424
20170203,housing Russia,-2.2264,0.1427
20170203,mortgage Russia,-1.546,0.0165
20170203,mortgage sourcecountry:RS,0.0108,0.0137
20170204,"""real estate"" Russia",-1.05,0.0279
20170204,housing Russia,-2.3245,0.2144
20170204,mortgage Russia,-2.7348,0.0236
20170204,mortgage sourcecountry:RS,-0.9264,0.0075
20170205,"""real estate"" Russia",-1.4043,0.0264
20170205,housing Russia,-1.9555,0.039
20170205,mortgage Russia,-1.8504,0.0174
20170205,mortgage sourcecountry:RS,-0.3742,0.0055
20170206,"""real estate"" Russia",-0.9545,0.0255
20170206,housing Russia,-1.3662,0.0505
20170206,mortgage Russia,-2.229,0.0123
20170206,mortgage sourcecountry:RS,0.3106,0.0189
20170207,"""real estate"" Russia",-2.1747,0.0469
20170207,housing Russia,-1.8689,0.0637
20170207,mortgage Russia,-1.6753,0.0141
20170207,mortgage sourcecountry:RS,0.1702,0.0126
20170208,"""real estate"" Russia",-1.0341,0.0297
20170208,housing Russia,-1.8085,0.0564
20170208,mortgage Russia,-1.3459,0.0091
20170208,mortgage sourcecountry:RS,0.211,0.0194
20170209,"""real estate"" Russia",-1.8991,0.0445
20170209,housing Russia,-2.0464,0.0529
20170209,mortgage Russia,-2.2919,0.0077
20170209,mortgage sourcecountry:RS,-0.2472,0.0222
20170210,"""real estate"" Russia",-2.0241,0.0389
20170210,housing Russia,-1.3177,0.0435
20170210,mortgage Russia,-2.8757,0.0189
20170210,mortgage sourcecountry:RS,0.1169,0.017
20170211,"""real estate"" Russia",-2.3963,0.0344
20170211,housing Russia,-1.3258,0.0396
20170211,mortgage Russia,-2.857,0.0181
20170211,mortgage sourcecountry:RS,-0.7808,0.0078
20170212,"""real estate"" Russia",-0.4231,0.0261
20170212,housing Russia,-1.1004,0.049
20170212,mortgage Russia,-3.0734,0.014
20170212,mortgage sourcecountry:RS,-1.1983,0.0052
20170213,"""real estate"" Russia",-0.9837,0.029
20170213,housing Russia,-1.2457,0.0431
20170213,mortgage Russia,-2.2723,0.0124
20170213,mortgage sourcecountry:RS,1.1373,0.0156
20170214,"""real estate"" Russia",-2.2892,0.0598
20170214,housing Russia,-1.389,0.0642
20170214,mortgage Russia,-2.2408,0.0176
20170214,mortgage sourcecountry:RS,0.8736,0.0167
20170215,"""real estate"" Russia",-1.7385,0.0632
20170215,housing Russia,-1.9375,0.0697
20170215,mortgage Russia,-1.921,0.0156
20170215,mortgage sourcecountry:RS,1.5533,0.0123
20170216,"""real estate"" Russia",-1.4419,0.0985
20170216,housing Russia,-0.8066,0.0669
20170216,mortgage Russia,-1.2778,0.0107
20170216,mortgage sourcecountry:RS,-0.2666,0.0156
20170217,"""real estate"" Russia",-1.8827,0.0815
20170217,housing Russia,-1.6807,0.0818
20170217,mortgage Russia,-1.439,0.0088
20170217,mortgage sourcecountry:RS,1.0491,0.0335
20170218,"""real estate"" Russia",-1.23,0.0703
20170218,housing Russia,-1.4706,0.1366
20170218,mortgage Russia,-1.6208,0.0066
20170218,mortgage sourcecountry:RS,1.2402,0.0068
20170219,"""real estate"" Russia",-0.8888,0.0729
20170219,housing Russia,-1.4193,0.0719
20170219,mortgage Russia,-0.8588,0.0091
20170219,mortgage sourcecountry:RS,-0.6196,0.0051
20170220,"""real estate"" Russia",-1.3927,0.1007
20170220,housing Russia,-1.0439,0.0469
20170220,mortgage Russia,-1.4525,0.0091
20170220,mortgage sourcecountry:RS,0.1868,0.0151
20170221,"""real estate"" Russia",-1.5516,0.0718
20170221,housing Russia,-1.4404,0.0732
20170221,mortgage Russia,-1.2228,0.008
20170221,mortgage sourcecountry:RS,0.0133,0.0138
20170222,"""real estate"" Russia",-0.8612,0.0515
20170222,housing Russia,-1.2496,0.0867
20170222,mortgage Russia,-0.0053,0.0146
20170222,mortgage sourcecountry:RS,1.0126,0.0177
20170223,"""real estate"" Russia",-1.2106,0.0961
20170223,housing Russia,-1.0215,0.0588
20170223,mortgage Russia,-0.9612,0.0058
20170223,mortgage sourcecountry:RS,0.568,0.0042
20170224,"""real estate"" Russia",-1.7624,0.1172
20170224,housing Russia,-1.3905,0.0752
20170224,mortgage Russia,-0.8193,0.0064
20170224,mortgage sourcecountry:RS,0.777,0.005
20170225,"""real estate"" Russia",-1.5137,0.0857
20170225,housing Russia,-0.6107,0.0691
20170225,mortgage Russia,-1.3497,0.0108
20170225,mortgage sourcecountry:RS,-1.0859,0.0063
20170226,"""real estate"" Russia",-0.6199,0.0481
20170226,housing Russia,-0.5261,0.0839
20170226,mortgage Russia,-1.5403,0.0071
20170226,mortgage sourcecountry:RS,0.0142,0.0149
20170227,"""real estate"" Russia",-1.2492,0.0431
20170227,housing Russia,-0.561,0.0834
20170227,mortgage Russia,-0.4547,0.0105
20170227,mortgage sourcecountry:RS,-0.1648,0.0226
20170228,"""real estate"" Russia",-1.097,0.056
20170228,housing Russia,-0.4298,0.1874
20170228,mortgage Russia,-0.533,0.0444
20170228,mortgage sourcecountry:RS,0.1077,0.0129
20170301,"""real estate"" Russia",-1.1287,0.0404
20170301,housing Russia,-0.425,0.0681
20170301,mortgage Russia,-0.5074,0.024
20170301,mortgage sourcecountry:RS,0.7854,0.0146
20170302,"""real estate"" Russia",-1.3496,0.0814
20170302,housing Russia,-0.8091,0.078
20170302,mortgage Russia,-0.7492,0.0131
20170302,mortgage sourcecountry:RS,0.7665,0.0144
20170303,"""real estate"" Russia",-1.6038,0.1121
20170303,housing Russia,-0.4651,0.0896
20170303,mortgage Russia,-0.5815,0.0137
20170303,mortgage sourcecountry:RS,0.4353,0.0106
20170304,"""real estate"" Russia",-0.8981,0.1554
20170304,housing Russia,-1.2571,0.0909
20170304,mortgage Russia,-1.7964,0.0137
20170304,mortgage sourcecountry:RS,-0.5498,0.0047
20170305,"""real estate"" Russia",-1.4054,0.0501
20170305,housing Russia,-1.1163,0.0808
20170305,mortgage Russia,-0.9118,0.0054
20170305,mortgage sourcecountry:RS,-0.3011,0.0046
20170306,"""real estate"" Russia",-1.1166,0.0408
20170306,housing Russia,-1.3684,0.0583
20170306,mortgage Russia,-1.5036,0.0066
20170306,mortgage sourcecountry:RS,-0.0977,0.013
20170307,"""real estate"" Russia",-1.396,0.0639
20170307,housing Russia,-1.2071,0.0636
20170307,mortgage Russia,-2.3375,0.008
20170307,mortgage sourcecountry:RS,0.6104,0.0122
20170308,"""real estate"" Russia",-0.5322,0.0514
20170308,housing Russia,-1.4948,0.0651
20170308,mortgage Russia,-1.6737,0.0075
20170308,mortgage sourcecountry:RS,1.788,0.0048
20170309,"""real estate"" Russia",-0.9635,0.0393
20170309,housing Russia,-1.2813,0.0625
20170309,mortgage Russia,-1.0104,0.0095
20170309,mortgage sourcecountry:RS,0.6301,0.0112
20170310,"""real estate"" Russia",-1.4848,0.0637
20170310,housing Russia,-1.1638,0.0732
20170310,mortgage Russia,-0.6907,0.0089
20170310,mortgage sourcecountry:RS,0.0141,0.0157
20170311,"""real estate"" Russia",-0.7557,0.0471
20170311,housing Russia,-1.1346,0.0727
20170311,mortgage Russia,-0.687,0.0066
20170311,mortgage sourcecountry:RS,0.1331,0.0073
20170312,"""real estate"" Russia",-0.8565,0.1246
20170312,housing Russia,-0.9436,0.1117
20170312,mortgage Russia,-1.0095,0.0079
20170312,mortgage sourcecountry:RS,-0.7167,0.0194
20170313,"""real estate"" Russia",-0.8639,0.1201
20170313,housing Russia,-1.3042,0.0798
20170313,mortgage Russia,-0.4998,0.0074
20170313,mortgage sourcecountry:RS,0.3965,0.0258
20170314,"""real estate"" Russia",-0.6639,0.0542
20170314,housing Russia,-1.3401,0.0579
20170314,mortgage Russia,-1.1118,0.0067
20170314,mortgage sourcecountry:RS,0.5081,0.0111
20170315,"""real estate"" Russia",-1.1444,0.0421
20170315,housing Russia,-1.4592,0.0653
20170315,mortgage Russia,-1.4889,0.0112
20170315,mortgage sourcecountry:RS,-0.4528,0.0217
20170316,"""real estate"" Russia",-0.6144,0.043
20170316,housing Russia,-1.096,0.048
20170316,mortgage Russia,-1.9612,0.0095
20170316,mortgage sourcecountry:RS,-0.5912,0.0154
20170317,"""real estate"" Russia",-0.7352,0.0702
20170317,housing Russia,-0.3369,0.058
20170317,mortgage Russia,-0.1972,0.011
20170317,mortgage sourcecountry:RS,-0.0528,0.0147
20170318,"""real estate"" Russia",-0.9794,0.0551
20170318,housing Russia,-0.1487,0.095
20170318,mortgage Russia,0.035,0.0079
20170318,mortgage sourcecountry:RS,-1.1602,0.0061
20170319,"""real estate"" Russia",-0.6188,0.0458
20170319,housing Russia,-0.3165,0.0738
20170319,mortgage Russia,-1.1513,0.006
20170319,mortgage sourcecountry:RS,-0.6558,0.0107
20170320,"""real estate"" Russia",-1.1361,0.0702
20170320,housing Russia,-0.5075,0.0954
20170320,mortgage Russia,-0.6907,0.0058
20170320,mortgage sourcecountry:RS,0.3222,0.0213
20170321,"""real estate"" Russia",-0.6898,0.0669
20170321,housing Russia,-0.8269,0.1099
20170321,mortgage Russia,-1.4311,0.01
20170321,mortgage sourcecountry:RS,-0.6024,0.0154
20170322,"""real estate"" Russia",-1.0921,0.0856
20170322,housing Russia,-1.9348,0.0967
20170322,mortgage Russia,-1.481,0.0126
20170322,mortgage sourcecountry:RS,0.4079,0.017
20170323,"""real estate"" Russia",-1.5311,0.0463
20170323,housing Russia,-3.0503,0.1525
20170323,mortgage Russia,-2.9849,0.0181
20170323,mortgage sourcecountry:RS,0.1562,0.0168
20170324,"""real estate"" Russia",-1.4652,0.0562
20170324,housing Russia,-1.7795,0.0781
20170324,mortgage Russia,-0.8871,0.0124
20170324,mortgage sourcecountry:RS,-0.1082,0.0136
20170325,"""real estate"" Russia",-1.5387,0.0577
20170325,housing Russia,-1.3486,0.051
20170325,mortgage Russia,-2.6519,0.0231
20170325,mortgage sourcecountry:RS,-0.3445,0.007
20170326,"""real estate"" Russia",-3.9756,0.1464
20170326,housing Russia,-2.1113,0.0742
20170326,mortgage Russia,-2.6937,0.0091
20170326,mortgage sourcecountry:RS,-1.6641,0.006
20170327,"""real estate"" Russia",-3.9707,0.1445
20170327,housing Russia,-1.278,0.0933
20170327,mortgage Russia,-1.1297,0.0096
20170327,mortgage sourcecountry:RS,-0.5865,0.0168
20170328,"""real estate"" Russia",-2.0557,0.1093
20170328,housing Russia,-1.6918,0.1106
20170328,mortgage Russia,-1.3416,0.0138
20170328,mortgage sourcecountry:RS,0.0136,0.0145
20170329,"""real estate"" Russia",-1.4162,0.092
20170329,housing Russia,-1.6532,0.0757
20170329,mortgage Russia,-0.5061,0.009
20170329,mortgage sourcecountry:RS,-0.5745,0.0149
20170330,"""real estate"" Russia",-2.2446,0.0912
20170330,housing Russia,-1.0422,0.0605
20170330,mortgage Russia,-0.7948,0.0082
20170330,mortgage sourcecountry:RS,-0.9754,0.0205
20170331,"""real estate"" Russia",-1.5646,0.0675
20170331,housing Russia,-1.6224,0.0751
20170331,mortgage Russia,-1.0073,0.0105
20170331,mortgage sourcecountry:RS,-0.9205,0.0292
20170401,"""real estate"" Russia",-1.3992,0.0671
20170401,housing Russia,-1.5228,0.0502
20170401,mortgage Russia,-0.3934,0.0189
20170401,mortgage sourcecountry:RS,-1.8728,0.0091
20170402,"""real estate"" Russia",-0.8384,0.0889
20170402,housing Russia,-1.6282,0.0481
20170402,mortgage Russia,-0.056,0.0164
20170402,mortgage sourcecountry:RS,-1.3437,0.0071
20170403,"""real estate"" Russia",-3.1812,0.1302
20170403,housing Russia,-2.2079,0.0907
20170403,mortgage Russia,-1.3374,0.0128
20170403,mortgage sourcecountry:RS,0.9646,0.0261
20170404,"""real estate"" Russia",-1.8046,0.056
20170404,housing Russia,-2.1425,0.1052
20170404,mortgage Russia,-1.8257,0.0132
20170404,mortgage sourcecountry:RS,-1.0852,0.0186
20170405,"""real estate"" Russia",-1.8014,0.0652
20170405,housing Russia,-2.2125,0.0827
20170405,mortgage Russia,-1.5462,0.0082
20170405,mortgage sourcecountry:RS,-1.0227,0.0123
20170406,"""real estate"" Russia",-1.4106,0.0625
20170406,housing Russia,-2.6125,0.0974
20170406,mortgage Russia,-0.1348,0.0063
20170406,mortgage sourcecountry:RS,-0.5893,0.0151
20170407,"""real estate"" Russia",-2.0763,0.1252
20170407,housing Russia,-2.6176,0.1417
20170407,mortgage Russia,-0.6244,0.0108
20170407,mortgage sourcecountry:RS,-0.5329,0.0145
20170408,"""real estate"" Russia",-2.5454,0.0872
20170408,housing Russia,-1.89,0.093
20170408,mortgage Russia,-0.0912,0.0088
20170408,mortgage sourcecountry:RS,1.1992,0.0054
20170409,"""real estate"" Russia",-2.0034,0.0482
20170409,housing Russia,-2.5551,0.0785
20170409,mortgage Russia,0.9518,0.0159
20170409,mortgage sourcecountry:RS,1.446,0.0099
20170410,"""real estate"" Russia",-1.8081,0.0662
20170410,housing Russia,-1.9833,0.1042
20170410,mortgage Russia,-1.0179,0.0129
20170410,mortgage sourcecountry:RS,-0.386,0.01
20170411,"""real estate"" Russia",-1.6738,0.0587
20170411,housing Russia,-2.4214,0.114
20170411,mortgage Russia,-1.2947,0.0109
20170411,mortgage sourcecountry:RS,-0.7324,0.0125
20170412,"""real estate"" Russia",-1.2969,0.0522
20170412,housing Russia,-2.0218,0.1193
20170412,mortgage Russia,-1.0043,0.0092
20170412,mortgage sourcecountry:RS,-0.2048,0.0105
20170413,"""real estate"" Russia",-1.3731,0.0666
20170413,housing Russia,-1.3749,0.1701
20170413,mortgage Russia,-1.3838,0.0214
20170413,mortgage sourcecountry:RS,-0.591,0.0235
20170414,"""real estate"" Russia",-1.4017,0.1103
20170414,housing Russia,-1.1609,0.0799
20170414,mortgage Russia,-0.432,0.0208
20170414,mortgage sourcecountry:RS,0.0781,0.0243
20170415,"""real estate"" Russia",-1.0148,0.0475
20170415,housing Russia,-2.2737,0.118
20170415,mortgage Russia,-0.4331,0.0186
20170415,mortgage sourcecountry:RS,-0.1102,0.0036
20170416,"""real estate"" Russia",-1.0566,0.0468
20170416,housing Russia,-2.7487,0.0678
20170416,mortgage Russia,-2.9726,0.0185
20170416,mortgage sourcecountry:RS,-0.5553,0.0058
20170417,"""real estate"" Russia",-0.3477,0.0662
20170417,housing Russia,-1.3485,0.0667
20170417,mortgage Russia,-1.9515,0.0202
20170417,mortgage sourcecountry:RS,0.6673,0.0337
20170418,"""real estate"" Russia",-0.557,0.0519
20170418,housing Russia,-1.6796,0.0784
20170418,mortgage Russia,-1.543,0.0133
20170418,mortgage sourcecountry:RS,-0.6935,0.0223
20170419,"""real estate"" Russia",-0.8079,0.0464
20170419,housing Russia,-1.2044,0.0648
20170419,mortgage Russia,-0.243,0.0137
20170419,mortgage sourcecountry:RS,0.4515,0.0241
20170420,"""real estate"" Russia",-1.2702,0.0742
20170420,housing Russia,-1.8126,0.0698
20170420,mortgage Russia,-0.9766,0.0082
20170420,mortgage sourcecountry:RS,0.648,0.0202
20170421,"""real estate"" Russia",-0.8869,0.0418
20170421,housing Russia,-0.8009,0.0558
20170421,mortgage Russia,-1.2482,0.0129
20170421,mortgage sourcecountry:RS,0.8248,0.0215
20170422,"""real estate"" Russia",-1.0956,0.037
20170422,housing Russia,-0.9096,0.0529
20170422,mortgage Russia,-1.031,0.0094
20170422,mortgage sourcecountry:RS,0.4279,0.0048
20170423,"""real estate"" Russia",-1.0631,0.05
20170423,housing Russia,-0.9253,0.0592
20170423,mortgage Russia,-1.3208,0.0111
20170423,mortgage sourcecountry:RS,-0.5855,0.0053
20170424,"""real estate"" Russia",-1.4555,0.0745
20170424,housing Russia,-0.9692,0.0693
20170424,mortgage Russia,-1.0521,0.0086
20170424,mortgage sourcecountry:RS,0.0772,0.0121
20170425,"""real estate"" Russia",-0.8228,0.038
20170425,housing Russia,-1.2263,0.0538
20170425,mortgage Russia,-0.77,0.0128
20170425,mortgage sourcecountry:RS,-0.3549,0.0108
20170426,"""real estate"" Russia",-0.9387,0.0514
20170426,housing Russia,-2.0935,0.0618
20170426,mortgage Russia,-0.5372,0.0088
20170426,mortgage sourcecountry:RS,-0.5517,0.0221
20170427,"""real estate"" Russia",-0.1428,0.0558
20170427,housing Russia,-1.8963,0.0882
20170427,mortgage Russia,-1.1969,0.0087
20170427,mortgage sourcecountry:RS,0.3691,0.0139
20170428,"""real estate"" Russia",-0.5608,0.0462
20170428,housing Russia,-0.9364,0.0614
20170428,mortgage Russia,-0.498,0.0094
20170428,mortgage sourcecountry:RS,-0.4135,0.0198
20170429,"""real estate"" Russia",-2.1862,0.1075
20170429,housing Russia,-1.2627,0.0454
20170429,mortgage Russia,-0.7808,0.0081
20170429,mortgage sourcecountry:RS,-1.1049,0.0097
20170430,"""real estate"" Russia",-1.3413,0.0725
20170430,housing Russia,-1.1944,0.0473
20170430,mortgage Russia,-1.371,0.015
20170430,mortgage sourcecountry:RS,-0.1621,0.0068
20170501,"""real estate"" Russia",-0.6126,0.0431
20170501,housing Russia,-1.0164,0.0476
20170501,mortgage Russia,-1.448,0.0087
20170501,mortgage sourcecountry:RS,0.2401,0.0067
20170502,"""real estate"" Russia",-1.5781,0.0511
20170502,housing Russia,-2.5805,0.0734
20170502,mortgage Russia,-0.1896,0.0104
20170502,mortgage sourcecountry:RS,0.6836,0.0259
20170503,"""real estate"" Russia",-1.0465,0.0549
20170503,housing Russia,-0.8562,0.0864
20170503,mortgage Russia,-1.5719,0.0142
20170503,mortgage sourcecountry:RS,-0.1926,0.0146
20170504,"""real estate"" Russia",-0.2728,0.0518
20170504,housing Russia,-0.6684,0.0791
20170504,mortgage Russia,0.0886,0.0079
20170504,mortgage sourcecountry:RS,0.5538,0.0132
20170505,"""real estate"" Russia",-0.5398,0.0434
20170505,housing Russia,-1.1843,0.0407
20170505,mortgage Russia,-0.1287,0.01
20170505,mortgage sourcecountry:RS,1.0782,0.0187
20170506,"""real estate"" Russia",-1.0586,0.0884
20170506,housing Russia,-1.8333,0.061
20170506,mortgage Russia,-2.3104,0.0083
20170506,mortgage sourcecountry:RS,-0.2684,0.0048
20170507,"""real estate"" Russia",-0.7876,0.0544
20170507,housing Russia,-2.0513,0.0474
20170507,mortgage Russia,-1.3195,0.0127
20170507,mortgage sourcecountry:RS,-0.0499,0.0115
20170508,"""real estate"" Russia",-1.0573,0.0947
20170508,housing Russia,-0.897,0.0616
20170508,mortgage Russia,-0.5304,0.0105
20170508,mortgage sourcecountry:RS,-2.678,0.0141
20170509,"""real estate"" Russia",-0.7135,0.0476
20170509,housing Russia,-1.1595,0.0535
20170509,mortgage Russia,-1.0827,0.009
20170509,mortgage sourcecountry:RS,-0.0264,0.003
20170510,"""real estate"" Russia",-1.1006,0.0598
20170510,housing Russia,-1.4784,0.0549
20170510,mortgage Russia,-1.7016,0.0177
20170510,mortgage sourcecountry:RS,0.0908,0.0148
20170511,"""real estate"" Russia",-0.9003,0.1186
20170511,housing Russia,-1.5449,0.0631
20170511,mortgage Russia,-1.5117,0.0145
20170511,mortgage sourcecountry:RS,-1.1137,0.0327
20170512,"""real estate"" Russia",-1.3117,0.0775
20170512,housing Russia,-1.2945,0.0662
20170512,mortgage Russia,-1.1888,0.0169
20170512,mortgage sourcecountry:RS,-0.1164,0.0214
20170513,"""real estate"" Russia",-0.8033,0.0834
20170513,housing Russia,-1.6855,0.0726
20170513,mortgage Russia,-1.5308,0.0147
20170513,mortgage sourcecountry:RS,-0.5284,0.0095
20170514,"""real estate"" Russia",-2.1989,0.0741
20170514,housing Russia,-3.3529,0.1429
20170514,mortgage Russia,-1.3681,0.0114
20170514,mortgage sourcecountry:RS,-1.2961,0.0078
20170515,"""real estate"" Russia",-2.1818,0.1029
20170515,housing Russia,-1.2783,0.0858
20170515,mortgage Russia,-2.149,0.0195
20170515,mortgage sourcecountry:RS,0.352,0.0247
20170516,"""real estate"" Russia",-0.9355,0.0678
20170516,housing Russia,-1.8681,0.1663
20170516,mortgage Russia,-1.4172,0.0166
20170516,mortgage sourcecountry:RS,0.1066,0.0187
20170517,"""real estate"" Russia",-1.3008,0.078
20170517,housing Russia,-1.6025,0.1419
20170517,mortgage Russia,-1.231,0.0169
20170517,mortgage sourcecountry:RS,0.1614,0.0121
20170518,"""real estate"" Russia",-1.53,0.1091
20170518,housing Russia,-1.6072,0.1424
20170518,mortgage Russia,-1.3861,0.0222
20170518,mortgage sourcecountry:RS,-1.2073,0.0394
20170519,"""real estate"" Russia",-1.1443,0.0887
20170519,housing Russia,-0.9684,0.0664
20170519,mortgage Russia,-1.168,0.0163
20170519,mortgage sourcecountry:RS,-0.3598,0.0169
20170520,"""real estate"" Russia",-1.662,0.0932
20170520,housing Russia,-0.6649,0.0543
20170520,mortgage Russia,-0.2336,0.0082
20170520,mortgage sourcecountry:RS,-0.9766,0.0042
20170521,"""real estate"" Russia",-1.1645,0.0471
20170521,housing Russia,-1.5587,0.0597
20170521,mortgage Russia,-1.3539,0.0083
20170521,mortgage sourcecountry:RS,-0.5067,0.0073
20170522,"""real estate"" Russia",-2.4673,0.0688
20170522,housing Russia,-0.493,0.074
20170522,mortgage Russia,-0.7156,0.0145
20170522,mortgage sourcecountry:RS,-0.495,0.0287
20170523,"""real estate"" Russia",-1.6373,0.0575
20170523,housing Russia,-0.8298,0.0455
20170523,mortgage Russia,-1.8658,0.0149
