date,n_queries,tone_mean,vol_mean,tone_z,sentiment_index
20170319,4,-0.6856,0.0341,0.3971,0.3971
20170320,4,-0.503,0.0482,0.7787,0.7787
20170321,4,-0.8876,0.0506,-0.025,-0.025
20170322,4,-1.025,0.053,-0.3123,-0.3123
20170323,4,-1.8525,0.0584,-2.0419,-2.0419
20170324,4,-1.06,0.0401,-0.3854,-0.3854
20170325,4,-1.4709,0.0347,-1.2443,-1.2443
20170326,4,-2.6112,0.0589,-3.6275,-3.6275
20170327,4,-1.7412,0.066,-1.8092,-1.8092
20170328,4,-1.2689,0.0621,-0.822,-0.822
20170329,4,-1.0375,0.0479,-0.3384,-0.3384
20170330,4,-1.2643,0.0451,-0.8123,-0.8123
20170331,4,-1.2787,0.0456,-0.8425,-0.8425
20170401,4,-1.2971,0.0363,-0.8809,-0.8809
20170402,4,-0.9666,0.0401,-0.1902,-0.1902
20170403,4,-1.4405,0.065,-1.1807,-1.1807
20170404,4,-1.7145,0.0483,-1.7534,-1.7534
20170405,4,-1.6457,0.0421,-1.6096,-1.6096
20170406,4,-1.1868,0.0453,-0.6505,-0.6505
20170407,4,-1.4628,0.0731,-1.2273,-1.2273
20170408,4,-0.8318,0.0486,0.0914,0.0914
20170409,4,-0.5402,0.0381,0.701,0.701
20170410,4,-1.2988,0.0483,-0.8846,-0.8846
20170411,4,-1.5306,0.049,-1.369,-1.369
20170412,4,-1.1319,0.0478,-0.5358,-0.5358
20170413,4,-1.1807,0.0704,-0.6377,-0.6377
20170414,4,-0.7291,0.0588,0.3061,0.3061
20170415,4,-0.9579,0.0469,-0.1722,-0.1722
20170416,4,-1.8333,0.0347,-2.0017,-2.0017
20170417,4,-0.7451,0.0467,0.2727,0.2727
20170418,4,-1.1183,0.0415,-0.5072,-0.5072
20170419,4,-0.4509,0.0372,0.8875,0.8875
20170420,4,-0.8528,0.0431,0.0475,0.0475
20170421,4,-0.5278,0.033,0.7269,0.7269
20170422,4,-0.6521,0.026,0.4671,0.4671
20170423,4,-0.9737,0.0314,-0.205,-0.205
20170424,4,-0.8499,0.0411,0.0537,0.0537
20170425,4,-0.7935,0.0289,0.1716,0.1716
20170426,4,-1.0303,0.036,-0.3233,-0.3233
20170427,4,-0.7167,0.0416,0.332,0.332
20170428,4,-0.6022,0.0342,0.5714,0.5714
20170429,4,-1.3337,0.0427,-0.9574,-0.9574
20170430,4,-1.0172,0.0354,-0.296,-0.296
20170501,4,-0.7092,0.0265,0.3477,0.3477
20170502,4,-0.9162,0.0402,-0.0848,-0.0848
20170503,4,-0.9168,0.0425,-0.0862,-0.0862
20170504,4,-0.0747,0.038,1.6739,1.6739
20170505,4,-0.1936,0.0282,1.4253,1.4253
20170506,4,-1.3677,0.0406,-1.0285,-1.0285
20170507,4,-1.0521,0.0315,-0.3689,-0.3689
20170508,4,-1.2907,0.0452,-0.8676,-0.8676
20170509,4,-0.7455,0.0283,0.2718,0.2718
20170510,4,-1.0474,0.0368,-0.3592,-0.3592
20170511,4,-1.2676,0.0572,-0.8194,-0.8194
20170512,4,-0.9779,0.0455,-0.2137,-0.2137
20170513,4,-1.137,0.045,-0.5464,-0.5464
20170514,4,-2.054,0.059,-2.4629,-2.4629
20170515,4,-1.3143,0.0582,-0.9169,-0.9169
20170516,4,-1.0286,0.0673,-0.3197,-0.3197
20170517,4,-0.9932,0.0622,-0.2459,-0.2459
20170518,4,-1.4326,0.0783,-1.1643,-1.1643
20170519,4,-0.9101,0.0471,-0.0722,-0.0722
20170520,4,-0.8843,0.04,-0.0182,-0.0182
20170521,4,-1.146,0.0306,-0.5651,-0.5651
20170522,4,-1.0427,0.0465,-0.3493,-0.3493
20170523,4,-1.291,0.0375,-0.8683,-0.8683
20170524,4,-1.1416,0.0428,-0.5561,-0.5561
20170525,4,-0.9335,0.0373,-0.1212,-0.1212
20170526,4,-1.0917,0.0444,-0.4516,-0.4516
20170527,4,-1.714,0.0406,-1.7523,-1.7523
20170528,4,-1.0409,0.0347,-0.3455,-0.3455
20170529,4,-0.5445,0.0433,0.6921,0.6921
20170530,4,-1.2105,0.0596,-0.6999,-0.6999
20170531,4,-0.987,0.0359,-0.2329,-0.2329
20170601,4,-0.7207,0.0519,0.3237,0.3237
20170602,4,-0.6929,0.0467,0.3818,0.3818
20170603,4,-0.6721,0.0338,0.4252,0.4252
20170604,4,-1.1481,0.0288,-0.5696,-0.5696
20170605,4,-1.6888,0.0416,-1.6996,-1.6996
20170606,4,-1.3466,0.0452,-0.9843,-0.9843
20170607,4,-1.3154,0.0583,-0.9193,-0.9193
20170608,4,-0.6167,0.0665,0.5411,0.5411
20170609,4,-0.7917,0.0622,0.1753,0.1753
20170610,4,-1.3287,0.1147,-0.9471,-0.9471
20170611,4,-1.3663,0.1003,-1.0257,-1.0257
20170612,4,-1.2532,0.1145,-0.7892,-0.7892
20170613,4,-1.3371,0.1263,-0.9646,-0.9646
20170614,4,-1.3132,0.123,-0.9145,-0.9145
20170615,4,-1.6804,0.1507,-1.6822,-1.6822
20170616,4,-1.097,0.1003,-0.4627,-0.4627
20170617,4,-1.0003,0.1119,-0.2606,-0.2606
20170618,4,-1.3262,0.056,-0.9419,-0.9419
20170619,4,-0.895,0.0566,-0.0406,-0.0406
20170620,4,-0.991,0.037,-0.2413,-0.2413
20170621,4,-0.6787,0.0549,0.4115,0.4115
20170622,4,-0.783,0.0468,0.1936,0.1936
20170623,4,-1.0833,0.0575,-0.4342,-0.4342
20170624,4,-0.9704,0.0763,-0.1981,-0.1981
20170625,4,-1.9082,0.0389,-2.1582,-2.1582
20170626,4,-0.8423,0.0416,0.0695,0.0695
20170627,4,-0.8421,0.0501,0.0699,0.0699
20170628,4,-1.6947,0.0649,-1.712,-1.712
20170629,4,-1.3493,0.0416,-0.9901,-0.9901
20170630,4,-1.1257,0.0362,-0.5227,-0.5227
20170701,4,-1.0298,0.0281,-0.3224,-0.3224
20170702,4,-1.2943,0.0347,-0.8752,-0.8752
20170703,4,-0.9261,0.0412,-0.1055,-0.1055
20170704,4,-0.985,0.0459,-0.2286,-0.2286
20170705,4,-0.9029,0.0435,-0.057,-0.057
20170706,4,-0.9803,0.0584,-0.2188,-0.2188
20170707,4,-1.2196,0.0433,-0.719,-0.719
20170708,4,-0.6611,0.0355,0.4482,0.4482
20170709,4,-0.8162,0.0421,0.1241,0.1241
20170710,4,-1.01,0.0565,-0.2809,-0.2809
20170711,4,-0.7275,0.0712,0.3095,0.3095
20170712,4,-0.2574,0.1122,1.292,1.292
20170713,4,-0.932,0.0684,-0.118,-0.118
20170714,4,-1.3143,0.0524,-0.9169,-0.9169
20170715,4,-1.7633,0.0598,-1.8553,-1.8553
20170716,4,-0.6831,0.0416,0.4022,0.4022
20170717,4,-0.5658,0.0515,0.6475,0.6475
20170718,4,-0.8939,0.054,-0.0383,-0.0383
20170719,4,-0.7777,0.0498,0.2046,0.2046
20170720,4,-0.8174,0.0551,0.1215,0.1215
20170721,4,-0.9978,0.0676,-0.2554,-0.2554
20170722,4,-1.4021,0.0405,-1.1004,-1.1004
20170723,4,-0.9367,0.0418,-0.1277,-0.1277
20170724,4,-1.007,0.0603,-0.2746,-0.2746
20170725,4,-0.6959,0.0518,0.3756,0.3756
20170726,4,-1.1313,0.0418,-0.5345,-0.5345
20170727,4,-1.0119,0.0398,-0.2849,-0.2849
20170728,4,-1.3703,0.0476,-1.034,-1.034
20170729,4,-1.2943,0.037,-0.8751,-0.8751
20170730,4,-1.0912,0.0312,-0.4507,-0.4507
20170731,4,-0.5304,0.0524,0.7215,0.7215
20170801,4,-0.728,0.0454,0.3084,0.3084
20170802,4,-0.7893,0.0575,0.1804,0.1804
20170803,4,-1.2499,0.0517,-0.7824,-0.7824
20170804,4,-1.5292,0.0524,-1.3661,-1.3661
20170805,4,-0.7436,0.0431,0.2759,0.2759
20170806,4,-1.5065,0.0692,-1.3186,-1.3186
20170807,4,-0.8313,0.0508,0.0927,0.0927
20170808,4,-0.8169,0.069,0.1227,0.1227
20170809,4,-1.1721,0.0631,-0.6197,-0.6197
20170810,4,-1.4409,0.0847,-1.1816,-1.1816
20170811,4,-1.5188,0.0661,-1.3444,-1.3444
20170812,4,-0.9145,0.0376,-0.0813,-0.0813
20170813,4,-0.6777,0.0365,0.4136,0.4136
20170814,4,-1.2972,0.0335,-0.8811,-0.8811
20170815,4,-1.3806,0.0368,-1.0556,-1.0556
20170816,4,-0.7474,0.042,0.2678,0.2678
20170817,4,-0.4291,0.0561,0.9331,0.9331
20170818,4,-1.1775,0.066,-0.631,-0.631
20170819,4,-1.366,0.0352,-1.025,-1.025
20170820,4,-0.8343,0.0299,0.0862,0.0862
20170821,4,-1.0414,0.0522,-0.3465,-0.3465
20170822,4,-0.9259,0.0407,-0.1052,-0.1052
20170823,4,-1.1689,0.0331,-0.6132,-0.6132
20170824,4,-0.981,0.0219,-0.2204,-0.2204
20170825,4,-1.2778,0.034,-0.8407,-0.8407
20170826,4,-0.9914,0.0245,-0.2421,-0.2421
20170827,4,-0.9146,0.0327,-0.0816,-0.0816
20170828,4,-0.5446,0.0681,0.6917,0.6917
20170829,4,-0.712,0.0534,0.342,0.342
20170830,4,-0.9371,0.0574,-0.1285,-0.1285
20170831,4,-0.8999,0.0393,-0.0508,-0.0508
20170901,4,-0.8365,0.0406,0.0817,0.0817
20170902,4,-1.3576,0.0395,-1.0074,-1.0074
20170903,4,-0.9615,0.0435,-0.1796,-0.1796
20170904,4,-0.595,0.0322,0.5865,0.5865
20170905,4,-1.0348,0.0521,-0.3327,-0.3327
20170906,4,-1.3847,0.0439,-1.064,-1.064
20170907,4,-0.8776,0.0422,-0.0043,-0.0043
20170908,4,-0.4987,0.0297,0.7877,0.7877
20170909,4,-0.8372,0.0232,0.0802,0.0802
20170910,4,-0.7056,0.0277,0.3552,0.3552
20170911,4,-1.1115,0.0347,-0.493,-0.493
20170912,4,-1.0521,0.0349,-0.369,-0.369
20170913,4,-0.7508,0.0366,0.2609,0.2609
20170914,4,-0.9775,0.0367,-0.2129,-0.2129
20170915,4,-0.6192,0.0311,0.5359,0.5359
20170916,4,-1.8676,0.0289,-2.0733,-2.0733
20170917,4,-1.3514,0.0316,-0.9945,-0.9945
20170918,4,-0.7142,0.0396,0.3372,0.3372
20170919,4,-0.736,0.0538,0.2917,0.2917
20170920,4,-1.3881,0.0478,-1.0711,-1.0711
20170921,4,-0.828,0.036,0.0995,0.0995
20170922,4,-0.8261,0.0346,0.1035,0.1035
20170923,4,-1.0462,0.0409,-0.3566,-0.3566
20170924,4,-0.835,0.0275,0.0848,0.0848
20170925,4,-0.5592,0.04,0.6612,0.6612
20170926,4,-1.0085,0.0398,-0.2779,-0.2779
20170927,4,-0.8408,0.0412,0.0726,0.0726
20170928,4,-0.9198,0.0387,-0.0924,-0.0924
20170929,4,-1.0316,0.0417,-0.3261,-0.3261
20170930,4,-0.9067,0.0301,-0.0651,-0.0651
20171001,4,-1.3675,0.0263,-1.0281,-1.0281
20171002,4,-0.9469,0.0372,-0.1491,-0.1491
20171003,4,-0.9852,0.0419,-0.2292,-0.2292
20171004,4,-1.1268,0.0461,-0.5251,-0.5251
20171005,4,-0.6659,0.0497,0.4383,0.4383
20171006,4,-0.7256,0.0393,0.3134,0.3134
20171007,4,-0.4485,0.0428,0.8926,0.8926
20171008,4,-0.6258,0.0646,0.522,0.522
20171009,4,-0.8022,0.0782,0.1535,0.1535
20171010,4,-0.8494,0.065,0.0546,0.0546
20171011,4,-0.8905,0.0782,-0.0311,-0.0311
20171012,4,-0.4479,0.1004,0.8939,0.8939
20171013,4,-0.3922,0.1028,1.0103,1.0103
20171014,4,-0.8842,0.1186,-0.0181,-0.0181
20171015,4,-1.0156,0.0672,-0.2928,-0.2928
20171016,4,-0.7634,0.072,0.2345,0.2345
20171017,4,-0.4184,0.0423,0.9555,0.9555
20171018,4,-0.8517,0.0436,0.0499,0.0499
20171019,4,-0.914,0.0412,-0.0804,-0.0804
20171020,4,-0.597,0.0431,0.5823,0.5823
20171021,4,-1.0225,0.0571,-0.307,-0.307
20171022,4,-0.7219,0.0532,0.3211,0.3211
20171023,4,-1.0125,0.041,-0.2862,-0.2862
20171024,4,-1.0814,0.0403,-0.4301,-0.4301
20171025,4,-0.9548,0.0559,-0.1656,-0.1656
20171026,4,-1.2669,0.0427,-0.8179,-0.8179
20171027,4,-0.7757,0.0389,0.2088,0.2088
20171028,4,-1.1695,0.0623,-0.6143,-0.6143
20171029,4,-1.1895,0.0654,-0.6561,-0.6561
20171030,4,-1.8878,0.1078,-2.1155,-2.1155
20171031,4,-1.7538,0.0687,-1.8354,-1.8354
20171101,4,-1.0006,0.0424,-0.2613,-0.2613
20171102,4,-1.1921,0.0439,-0.6614,-0.6614
20171103,4,-1.3503,0.0471,-0.9923,-0.9923
20171104,4,-1.6603,0.0465,-1.6401,-1.6401
20171105,4,-1.5256,0.0625,-1.3587,-1.3587
20171106,4,-1.0071,0.067,-0.275,-0.275
20171107,4,-0.6676,0.0519,0.4347,0.4347
20171108,4,-0.4799,0.0474,0.8269,0.8269
20171109,4,-0.901,0.0453,-0.0531,-0.0531
20171110,4,-1.1033,0.0455,-0.476,-0.476
20171111,4,-0.6862,0.0397,0.3959,0.3959
20171112,4,-0.6122,0.0419,0.5504,0.5504
20171113,4,-0.8961,0.044,-0.0429,-0.0429
20171114,4,-0.8123,0.0509,0.1323,0.1323
20171115,4,-1.0491,0.0478,-0.3626,-0.3626
20171116,4,-0.7084,0.0394,0.3494,0.3494
20171117,4,-1.0107,0.0468,-0.2824,-0.2824
20171118,4,-1.1748,0.036,-0.6255,-0.6255
20171119,4,-0.9244,0.0317,-0.102,-0.102
20171120,4,-0.6347,0.0372,0.5034,0.5034
20171121,4,-0.3105,0.0433,1.181,1.181
20171122,4,-0.7246,0.035,0.3156,0.3156
20171123,4,-0.7347,0.0391,0.2945,0.2945
20171124,4,-0.3619,0.0418,1.0737,1.0737
20171125,4,-0.8621,0.0333,0.0281,0.0281
20171126,4,-0.8069,0.0432,0.1436,0.1436
20171127,4,-0.8276,0.0477,0.1003,0.1003
20171128,4,-0.848,0.0592,0.0576,0.0576
20171129,4,-0.6805,0.05,0.4076,0.4076
20171130,4,-0.7126,0.057,0.3407,0.3407
20171203,4,-1.2514,0.0467,-0.7855,-0.7855
20171204,4,-1.2177,0.0508,-0.7151,-0.7151
20171205,4,-1.2767,0.0626,-0.8383,-0.8383
20171206,4,-0.838,0.0541,0.0785,0.0785
20171207,4,-1.1931,0.0418,-0.6637,-0.6637
20171208,4,-1.0102,0.0424,-0.2813,-0.2813
20171209,4,-0.9865,0.0334,-0.2318,-0.2318
20171210,4,-1.2016,0.0393,-0.6815,-0.6815
20171211,4,-0.7495,0.0415,0.2635,0.2635
20171212,4,-1.1989,0.0458,-0.6758,-0.6758
20171213,4,-0.826,0.048,0.1037,0.1037
20171214,4,-0.8256,0.0437,0.1044,0.1044
20171215,4,-0.7748,0.0432,0.2106,0.2106
20171216,4,-0.8383,0.0304,0.0779,0.0779
20171217,4,-1.0528,0.0301,-0.3705,-0.3705
20171218,4,-0.6288,0.0381,0.5159,0.5159
20171219,4,-0.7436,0.0439,0.2759,0.2759
20171220,4,-0.8956,0.045,-0.0418,-0.0418
20171221,4,-0.907,0.0471,-0.0657,-0.0657
20171222,4,-0.9735,0.0411,-0.2046,-0.2046
20171223,4,-1.4845,0.0407,-1.2727,-1.2727
20171224,4,-1.0863,0.0385,-0.4404,-0.4404
20171225,4,-0.695,0.0519,0.3775,0.3775
20171226,4,-0.6925,0.0443,0.3827,0.3827
20171227,4,-1.0539,0.0507,-0.3727,-0.3727
20171228,4,-0.7312,0.0445,0.3017,0.3017
20171229,4,-0.6722,0.0408,0.425,0.425
20171230,4,-0.5582,0.0366,0.6633,0.6633
20171231,4,-0.8153,0.0368,0.126,0.126
20180101,4,-1.0412,0.033,-0.3462,-0.3462
20180102,4,-0.6473,0.0387,0.4772,0.4772
20180103,4,-0.731,0.0421,0.3022,0.3022
20180104,4,-0.6894,0.0588,0.3892,0.3892
20180105,4,-0.4778,0.0515,0.8315,0.8315
20180106,4,-0.883,0.0328,-0.0155,-0.0155
20180107,4,-1.0616,0.0365,-0.3888,-0.3888
20180108,4,-1.1192,0.0413,-0.5092,-0.5092
20180109,4,-1.002,0.0348,-0.2643,-0.2643
20180110,4,-1.2894,0.04,-0.8649,-0.8649
20180111,4,-0.9056,0.0372,-0.0627,-0.0627
20180112,4,-0.8296,0.0357,0.096,0.096
20180113,4,-1.0366,0.0314,-0.3366,-0.3366
20180114,4,-0.8638,0.0354,0.0247,0.0247
20180115,4,-0.9616,0.0377,-0.1797,-0.1797
20180116,4,-1.1158,0.034,-0.5021,-0.5021
20180117,4,-1.339,0.045,-0.9686,-0.9686
20180118,4,-1.4948,0.0418,-1.2941,-1.2941
20180119,4,-0.9156,0.0465,-0.0837,-0.0837
20180120,4,-1.3188,0.0295,-0.9263,-0.9263
20180121,4,-0.7929,0.0278,0.1728,0.1728
20180122,4,-0.6268,0.0405,0.5199,0.5199
20180123,4,-0.9089,0.0375,-0.0696,-0.0696
20180124,4,-1.5117,0.04,-1.3296,-1.3296
20180125,4,-0.8023,0.0429,0.1531,0.1531
20180126,4,-0.9233,0.059,-0.0996,-0.0996
20180127,4,-0.7467,0.0367,0.2693,0.2693
20180128,4,-1.2208,0.0418,-0.7214,-0.7214
20180129,4,-0.7113,0.0404,0.3433,0.3433
20180130,4,-0.9709,0.0455,-0.1992,-0.1992
20180131,4,-0.5286,0.0526,0.7253,0.7253
20180201,4,-0.8005,0.0474,0.1569,0.1569
20180202,4,-1.0088,0.0469,-0.2785,-0.2785
20180203,4,-1.2531,0.0528,-0.7891,-0.7891
20180204,4,-1.2465,0.0418,-0.7752,-0.7752
20180205,4,-0.9747,0.0469,-0.2072,-0.2072
20180206,4,-1.1672,0.0435,-0.6094,-0.6094
20180207,4,-0.5548,0.0462,0.6704,0.6704
20180208,4,-0.6706,0.0343,0.4285,0.4285
20180209,4,-0.2875,0.0462,1.229,1.229
20180210,4,-0.9532,0.032,-0.1621,-0.1621
20180211,4,-1.1931,0.0507,-0.6637,-0.6637
20180212,4,-0.9125,0.0494,-0.0773,-0.0773
20180213,4,-0.9746,0.0466,-0.2069,-0.2069
20180214,4,-0.835,0.0357,0.0848,0.0848
20180215,4,-1.081,0.0468,-0.4293,-0.4293
20180216,4,-0.8597,0.0359,0.0331,0.0331
20180217,4,-1.3976,0.0384,-1.0911,-1.0911
20180218,4,-1.6196,0.0301,-1.555,-1.555
20180219,4,-1.1025,0.0474,-0.4742,-0.4742
20180220,4,-1.1324,0.0599,-0.5368,-0.5368
20180221,4,-1.3614,0.0554,-1.0153,-1.0153
20180222,4,-1.1051,0.0452,-0.4797,-0.4797
20180223,4,-2.2063,0.0621,-2.7813,-2.7813
20180224,4,-1.4091,0.0599,-1.1151,-1.1151
20180225,4,-0.8176,0.0428,0.1212,0.1212
20180226,4,-0.9248,0.0475,-0.1029,-0.1029
20180227,4,-1.125,0.044,-0.5212,-0.5212
20180228,4,-1.2059,0.0699,-0.6904,-0.6904
20180301,4,-1.014,0.0648,-0.2894,-0.2894
20180302,4,-1.1946,0.0613,-0.6669,-0.6669
20180303,4,-0.7719,0.0382,0.2167,0.2167
20180304,4,-0.9857,0.0388,-0.2302,-0.2302
20180305,4,-0.9419,0.0574,-0.1386,-0.1386
20180306,4,-0.9857,0.0401,-0.2301,-0.2301
20180307,4,-1.0098,0.0418,-0.2805,-0.2805
20180308,4,-1.1564,0.0293,-0.5869,-0.5869
20180309,4,-0.9596,0.0358,-0.1756,-0.1756
20180310,4,-0.2842,0.0308,1.236,1.236
20180311,4,-0.7257,0.0271,0.3133,0.3133
20180312,4,-1.2057,0.0378,-0.6899,-0.6899
20180313,4,-1.6428,0.0504,-1.6035,-1.6035
20180314,4,-1.8482,0.064,-2.0327,-2.0327
20180315,4,-1.6445,0.0682,-1.6072,-1.6072
20180316,4,-1.5233,0.0893,-1.3539,-1.3539
20180317,4,-1.3979,0.062,-1.0916,-1.0916
20180318,4,-1.2241,0.0667,-0.7284,-0.7284
20180319,4,-1.1914,0.0869,-0.6602,-0.6602
20180320,4,-0.8699,0.0628,0.0119,0.0119
20180321,4,-0.5997,0.0549,0.5767,0.5767
20180322,4,-1.295,0.0635,-0.8766,-0.8766
20180323,4,-0.7682,0.0632,0.2244,0.2244
20180324,4,-1.0635,0.0412,-0.3927,-0.3927
20180325,4,-0.911,0.0459,-0.074,-0.074
20180326,4,-1.1346,0.0558,-0.5413,-0.5413
20180327,4,-1.1862,0.0666,-0.6492,-0.6492
20180328,4,-1.2145,0.0568,-0.7083,-0.7083
20180329,4,-1.1457,0.0527,-0.5646,-0.5646
20180330,4,-0.7815,0.0554,0.1967,0.1967
20180331,4,-0.5947,0.0456,0.587,0.587
20180401,4,-0.9012,0.0417,-0.0536,-0.0536
20180402,4,-0.5658,0.0415,0.6474,0.6474
20180403,4,-0.7176,0.0449,0.3302,0.3302
20180404,4,-1.0048,0.0423,-0.27,-0.27
20180405,4,-1.5141,0.0408,-1.3345,-1.3345
20180406,4,-1.2372,0.0333,-0.7557,-0.7557
20180407,4,-1.3037,0.0248,-0.8948,-0.8948
20180408,4,-1.0552,0.0288,-0.3753,-0.3753
20180409,4,-1.5211,0.0444,-1.3491,-1.3491
20180410,4,-1.3941,0.0513,-1.0837,-1.0837
20180411,4,-1.4604,0.0609,-1.2223,-1.2223
20180412,4,-1.0192,0.0473,-0.3003,-0.3003
20180413,4,-1.3315,0.0516,-0.9529,-0.9529
20180414,4,-1.9815,0.053,-2.3114,-2.3114
20180415,4,-1.0269,0.0485,-0.3163,-0.3163
20180416,4,-1.4881,0.0643,-1.2803,-1.2803
20180417,4,-1.3891,0.0648,-1.0734,-1.0734
20180418,4,-0.8417,0.0439,0.0708,0.0708
20180419,4,-1.5242,0.0383,-1.3556,-1.3556
20180420,4,-1.4363,0.0487,-1.172,-1.172
20180421,4,-1.3203,0.0319,-0.9295,-0.9295
20180422,4,-1.0024,0.0269,-0.2651,-0.2651
20180423,4,-1.3336,0.0314,-0.9572,-0.9572
20180424,4,-0.7362,0.0285,0.2913,0.2913
20180425,4,-0.8004,0.0285,0.1571,0.1571
20180426,4,-0.7033,0.032,0.3602,0.3602
20180427,4,-1.1543,0.0357,-0.5826,-0.5826
20180428,4,-1.159,0.0459,-0.5923,-0.5923
20180429,4,-0.9902,0.0245,-0.2396,-0.2396
20180430,4,-0.773,0.0307,0.2143,0.2143
20180501,4,-1.1989,0.0669,-0.6759,-0.6759
20180502,4,-1.5683,0.041,-1.4478,-1.4478
20180503,4,-1.4777,0.0309,-1.2584,-1.2584
20180504,4,-0.9,0.0249,-0.0509,-0.0509
20180505,4,-0.9319,0.0588,-0.1177,-0.1177
20180506,4,-1.134,0.0336,-0.5402,-0.5402
20180507,4,-0.8358,0.0341,0.0831,0.0831
20180508,4,-0.5684,0.0355,0.6419,0.6419
20180509,4,-0.7639,0.0335,0.2334,0.2334
20180510,4,-1.1172,0.0364,-0.5049,-0.5049
20180511,4,-0.9901,0.0414,-0.2394,-0.2394
20180512,4,-0.6904,0.0236,0.387,0.387
20180513,4,-1.411,0.0312,-1.119,-1.119
20180514,4,-1.6963,0.0535,-1.7154,-1.7154
20180515,4,-1.3059,0.0307,-0.8993,-0.8993
20180516,4,-0.8235,0.0329,0.1088,0.1088
