GLOBALEVENTID,SQLDATE,Actor1Code,Actor1Name,Actor1CountryCode,Actor2Code,Actor2Name,Actor2CountryCode,IsRootEvent,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,THEMES,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1319762890,20260825,RUS,RUSSIA,RUS,GOVELI,FOREIGN MINIST,,1,014,01,1,0.0,2,1,2,-2.3543990086741,ELI,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762891,20260825,RUS,RUSSIA,RUS,GOVELI,FOREIGN MINIST,,1,014,01,1,0.0,72,9,72,-2.143431908671,ELI,UK,1,United Kingdom,UK,UK,,54,-4
1319762892,20260825,RUS,RUSSIA,RUS,GOVELI,FOREIGN MINIST,,1,014,01,1,0.0,16,8,16,-2.11706102117061,ELI,UK,1,Ukraine,UP,UP,,49,32
1319762893,20260825,RUS,MOSCOW,RUS,MNCUSAMED,GOOGLE,USA,0,042,04,1,1.9,10,1,10,-4.27698574338085,MED,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762894,20260825,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,0,010,01,1,0.0,2,1,2,-5.1605504587156,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762895,20260825,RUS,RUSSIAN,RUS,UKR,UKRAINE,UKR,0,040,04,1,1.0,1,1,1,-5.1605504587156,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762896,20260825,RUS,RUSSIAN,RUS,UKR,UKRAINE,UKR,0,040,04,1,1.0,1,1,1,-5.1605504587156,,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762897,20260825,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,1,042,04,1,1.9,3,1,3,-2.3543990086741,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762898,20260825,RUS,RUSSIA,RUS,UKR,KYIV,UKR,1,042,04,1,1.9,5,1,5,-2.3543990086741,,-1044367,1,United Kingdom,UK,UK,,54,-4
1319762899,20260825,RUS,RUSSIA,RUS,UKR,KYIV,UKR,1,042,04,1,1.9,64,8,64,-2.11706102117061,,UK,1,United Kingdom,UK,UK,,54,-4
1319762900,20260825,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,0,194,19,4,-10.0,2,1,2,-0.89126559714795,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762901,20260825,RUS,RUSSIA,RUS,UKR,UKRAINIAN,UKR,0,194,19,4,-10.0,2,1,2,-0.89126559714795,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762902,20260825,RUS,RUSSIA,RUS,UKR,UKRAINIAN,UKR,0,194,19,4,-10.0,6,1,6,-0.89126559714795,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762903,20260825,RUS,RUSSIA,RUS,UKRGOV,UKRAINE,UKR,0,010,01,1,0.0,2,1,2,-5.1605504587156,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762904,20260825,RUSGOV,RUSSIA,RUS,UKR,UKRAINIAN,UKR,1,051,05,1,3.4,2,1,2,-0.89126559714795,,-1044367,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319763012,20260825,UKR,UKRAINE,UKR,RUS,RUSSIA,RUS,1,043,04,1,2.8,3,1,3,-2.3543990086741,,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319763013,20260825,UKR,KYIV,UKR,RUS,RUSSIA,RUS,1,043,04,1,2.8,5,1,5,-2.3543990086741,,-2960561,1,United Kingdom,UK,UK,,54,-4
1319763014,20260825,UKR,KYIV,UKR,RUS,RUSSIA,RUS,1,043,04,1,2.8,64,8,64,-2.11706102117061,,-2960561,1,United Kingdom,UK,UK,,54,-4
1319763015,20260825,UKR,UKRAINE,UKR,RUS,RUSSIA,RUS,1,182,18,4,-9.5,2,1,2,-5.1605504587156,,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319763016,20260825,UKR,UKRAINIAN,UKR,RUS,RUSSIA,RUS,1,190,19,4,-10.0,2,1,1,-5.1605504587156,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319763017,20260825,UKR,UKRAINIAN,UKR,RUS,RUSSIA,RUS,0,190,19,4,-10.0,1,1,1,-5.1605504587156,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319763018,20260825,UKR,UKRAINE,UKR,RUS,RUSSIAN,RUS,1,190,19,4,-10.0,1,1,1,-5.1605504587156,,US,1,United States,US,US,,39.828175,-98.5795
1319763936,20260825,,,,RUS,RUSSIA,RUS,1,020,02,1,3.0,2,1,2,0.787401574803145,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319763937,20260825,,,,RUS,RUSSIA,RUS,1,040,04,1,1.0,4,1,4,0.787401574803145,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319763938,20260825,,,,RUS,MOSCOW,RUS,1,040,04,1,1.0,1,1,1,0.787401574803145,,-2960561,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319763939,20260825,,,,RUS,RUSSIA,RUS,1,040,04,1,1.0,5,1,5,0.787401574803145,,-3034733,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319763940,20260825,,,,RUS,RUSSIA,RUS,0,042,04,1,1.9,8,1,8,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319763941,20260825,,,,RUS,MOSCOW,RUS,1,042,04,1,1.9,5,1,5,0.787401574803145,,-2960561,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319763942,20260825,,,,RUS,RUSSIA,RUS,0,042,04,1,1.9,2,1,2,1.72166427546629,,-2960561,1,India,IN,IN,,20,77
1319763943,20260825,,,,RUS,MOSCOW,RUS,1,042,04,1,1.9,1,1,1,0.787401574803145,,-3034733,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319763944,20260825,,,,RUS,MOSCOW,RUS,1,043,04,1,2.8,3,1,3,0.787401574803145,,-2960561,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319763945,20260825,,,,RUS,RUSSIA,RUS,1,043,04,1,2.8,1,1,1,0.787401574803145,,-3034733,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764468,20260825,GOV,EXTERNAL AFFAIRS MINIST,,RUS,RUSSIA,RUS,1,010,01,1,0.0,1,1,1,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764469,20260825,GOV,PRIME MINISTER,,RUS,RUSSIA,RUS,1,020,02,1,3.0,3,1,2,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764470,20260825,GOV,EXTERNAL AFFAIRS MINIST,,RUSGOV,RUSSIA,RUS,1,010,01,1,0.0,1,1,1,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764471,20260825,GOV,EXTERNAL AFFAIRS MINIST,,RUSGOV,RUSSIA,RUS,1,020,02,1,3.0,1,1,1,1.72166427546629,,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764834,20260825,RUS,RUSSIA,RUS,,,,1,012,01,1,-0.4,1,1,1,-3.84105960264901,,,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333
1319764835,20260825,RUS,RUSSIA,RUS,,,,1,012,01,1,-0.4,4,1,4,-3.84105960264901,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764836,20260825,RUS,RUSSIA,RUS,,,,1,040,04,1,1.0,4,1,4,0.787401574803145,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764837,20260825,RUS,MOSCOW,RUS,,,,1,040,04,1,1.0,1,1,1,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764838,20260825,RUS,RUSSIA,RUS,,,,1,040,04,1,1.0,5,1,5,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764839,20260825,RUS,MOSCOW,RUS,,,,1,042,04,1,1.9,3,1,3,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764840,20260825,RUS,RUSSIA,RUS,,,,1,042,04,1,1.9,1,1,1,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764841,20260825,RUS,RUSSIA,RUS,,,,0,043,04,1,2.8,8,1,8,1.72166427546629,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764842,20260825,RUS,MOSCOW,RUS,,,,1,043,04,1,2.8,5,1,5,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764843,20260825,RUS,RUSSIA,RUS,,,,0,043,04,1,2.8,2,1,2,1.72166427546629,,,1,India,IN,IN,,20,77
1319764844,20260825,RUS,MOSCOW,RUS,,,,1,043,04,1,2.8,1,1,1,0.787401574803145,,,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764845,20260825,RUS,RUSSIA,RUS,,,,0,100,10,3,-5.0,2,1,2,-3.84105960264901,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764846,20260825,RUS,RUSSIA,RUS,,,,0,100,10,3,-5.0,8,1,8,-3.84105960264901,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764847,20260825,RUS,RUSSIA,RUS,ARM,ARMENIA,ARM,0,090,09,2,-2.0,2,1,1,-1.82648401826484,,-2920856,4,"Karabakh, Dagestan, Russia",RS,RS17,25069,42.4692,46.8645
1319764848,20260825,RUS,RUSSIA,RUS,ARM,ARMENIA,ARM,0,090,09,2,-2.0,8,1,4,-1.82648401826484,,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
1319764849,20260825,RUS,RUSSIA,RUS,CHN,SHANGHAI,CHN,0,020,02,1,3.0,2,1,2,1.72166427546629,,-1924465,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764850,20260825,RUS,RUSSIAN,RUS,GBR,BRITISH,GBR,1,040,04,1,1.0,1,1,1,-3.84105960264901,,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764851,20260825,RUS,RUSSIAN,RUS,GBR,BRITISH,GBR,1,040,04,1,1.0,1,1,1,-3.84105960264901,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764852,20260825,RUS,RUSSIA,RUS,GBR,BRITAIN,GBR,0,100,10,3,-5.0,2,1,2,-3.84105960264901,,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764853,20260825,RUS,RUSSIA,RUS,GBR,BRITAIN,GBR,0,100,10,3,-5.0,6,1,6,-3.84105960264901,,-2601889,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764854,20260825,RUS,RUSSIA,RUS,GBR,UNITED KINGDOM,GBR,0,100,10,3,-5.0,2,1,2,-3.84105960264901,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764855,20260825,RUS,RUSSIA,RUS,GOV,AMBASSADOR,,0,014,01,1,0.0,2,1,2,-3.84105960264901,,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764856,20260825,RUS,RUSSIA,RUS,GOV,AMBASSADOR,,0,014,01,1,0.0,8,1,8,-3.84105960264901,,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764857,20260825,RUS,RUSSIAN,RUS,GOV,DIPLOMAT,,1,130,13,3,-4.4,1,1,1,-3.84105960264901,,-2601889,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764858,20260825,RUS,RUSSIAN,RUS,GOV,DIPLOMAT,,1,130,13,3,-4.4,1,1,1,-3.84105960264901,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764859,20260825,RUS,RUSSIA,RUS,MED,CORRESPONDENT,,0,013,01,1,0.4,2,1,2,-1.82648401826484,,-2920856,4,"Karabakh, Dagestan, Russia",RS,RS17,25069,42.4692,46.8645
1319764860,20260825,RUS,RUSSIAN,RUS,RUSGOV,RUSSIA,RUS,0,040,04,1,1.0,1,1,1,1.72166427546629,,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458
1319764861,20260825,RUS,RUSSIAN,RUS,RUSGOV,RUSSIA,RUS,0,040,04,1,1.0,1,1,1,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764862,20260825,RUS,RUSSIA,RUS,RUSGOV,VLADIMIR PUTIN,RUS,1,100,10,3,-5.0,10,1,10,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764863,20260825,RUS,RUSSIA,RUS,UKR,UKRAINE,UKR,1,040,04,1,1.0,1,1,1,-3.84105960264901,,-1044367,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764864,20260825,RUS,RUSSIA,RUS,VAT,VATICAN,VAT,1,040,04,1,1.0,10,1,10,0.787401574803145,,-3034733,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319764865,20260825,RUSGOV,RUSSIA,RUS,,,,1,020,02,1,3.0,2,1,2,1.72166427546629,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764866,20260825,RUSGOV,RUSSIAN,RUS,,,,1,040,04,1,1.0,1,1,1,-3.84105960264901,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667
1319764867,20260825,RUSGOV,RUSSIA,RUS,CHN,SHANGHAI,CHN,0,020,02,1,3.0,2,1,2,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764868,20260825,RUSGOV,RUSSIAN,RUS,GOV,DIPLOMAT,,1,130,13,3,-4.4,1,1,1,-3.84105960264901,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764869,20260825,RUSGOV,RUSSIA,RUS,RUS,RUSSIAN,RUS,0,040,04,1,1.0,1,1,1,1.72166427546629,,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458
1319764870,20260825,RUSGOV,RUSSIA,RUS,RUS,RUSSIAN,RUS,0,040,04,1,1.0,1,1,1,1.72166427546629,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764909,20260825,UKR,UKRAINE,UKR,RUS,RUSSIA,RUS,1,040,04,1,1.0,1,1,1,-3.84105960264901,,-1456928,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319764910,20260825,UKR,UKRAINE,UKR,RUS,RUSSIA,RUS,1,040,04,1,1.0,4,1,4,-3.84105960264901,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319765287,20260825,VAT,VATICAN,VAT,RUS,RUSSIA,RUS,0,017,01,1,0.0,4,1,4,0.787401574803145,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319765288,20260825,VAT,VATICAN,VAT,RUS,MOSCOW,RUS,0,017,01,1,0.0,6,1,6,0.787401574803145,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319765289,20260825,VAT,VATICAN,VAT,RUS,RUSSIA,RUS,1,020,02,1,3.0,10,1,10,0.787401574803145,,-3034733,4,"Volokolamsk, Moskovskaya Oblast', Russia",RS,RS47,25106,56.039,35.957
1319765290,20260825,VAT,VATICAN,VAT,RUS,RUSSIA,RUS,1,040,04,1,1.0,2,1,2,0.787401574803145,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319765291,20260825,VAT,VATICAN,VAT,RUS,RUSSIA,RUS,1,040,04,1,1.0,2,1,2,0.787401574803145,,VT,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319765292,20260825,VAT,VATICAN,VAT,RUS,RUSSIA,RUS,1,040,04,1,1.0,6,1,6,0.787401574803145,,VT,1,Vatican City,VT,VT,,41.9,12.45
1319766642,20260825,,,,RUS,RUSSIA,RUS,0,014,01,1,0.0,10,1,10,-1.53172866520788,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766643,20260825,,,,RUS,RUSSIA,RUS,0,042,04,1,1.9,2,1,2,-2.04678362573099,,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333
1319766644,20260825,,,,RUS,RUSSIA,RUS,0,042,04,1,1.9,6,1,6,-2.04678362573099,,RS,1,Russia,RS,RS,,60,100
1319766645,20260825,,,,RUSGOV,RUSSIAN,RUS,1,040,04,1,1.0,10,1,9,0.81190798376184,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766646,20260825,,,,RUSGOV,RUSSIAN,RUS,0,051,05,1,3.4,6,1,6,0.81190798376184,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766712,20260825,ARM,ARMENIA,ARM,RUS,RUSSIA,RUS,0,010,01,1,0.0,4,1,4,-0.83148558758315,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766713,20260825,ARM,ARMENIA,ARM,RUS,RUSSIA,RUS,0,010,01,1,0.0,1,1,1,-0.83148558758315,,-2705195,1,Turkey,TU,TU,,39.059012,34.911546
1319766714,20260825,ARM,ARMENIAN,ARM,RUS,MOSCOW,RUS,0,040,04,1,1.0,3,1,3,-0.83148558758315,,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766715,20260825,ARMGOV,ARMENIA,ARM,RUS,RUSSIA,RUS,0,040,04,1,1.0,1,1,1,-0.83148558758315,,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
1319766716,20260825,ARMGOV,ARMENIA,ARM,RUS,RUSSIA,RUS,0,040,04,1,1.0,3,1,3,-0.83148558758315,,-2960561,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
1319766717,20260825,ARMGOV,ARMENIA,ARM,RUS,RUSSIA,RUS,0,040,04,1,1.0,3,1,3,-0.83148558758315,,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766755,20260825,BLR,BELARUS,BLR,RUS,RUSSIA,RUS,0,050,05,1,3.5,2,1,2,-0.83148558758315,,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
1319766756,20260825,BLR,BELARUS,BLR,RUS,RUSSIA,RUS,0,050,05,1,3.5,8,1,8,-0.83148558758315,,-2960561,1,Belarus,BO,BO,,53,28
1319766757,20260825,BLR,BELARUS,BLR,RUS,RUSSIA,RUS,0,051,05,1,3.4,2,1,2,-0.83148558758315,,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
1319766758,20260825,BLR,BELARUS,BLR,RUS,RUSSIA,RUS,0,051,05,1,3.4,6,1,6,-0.83148558758315,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319766759,20260825,BLR,BELARUS,BLR,RUS,RUSSIA,RUS,0,051,05,1,3.4,2,1,2,-0.83148558758315,,-2960561,1,Belarus,BO,BO,,53,28
1319766963,20260825,COP,POLICE,,RUSCOP,VLADIMIR,RUS,0,010,01,1,0.0,8,2,8,-7.56939139292081,,-65279,4,"Kenscoff, Ouest, Haiti",HA,HA11,17198,18.4506,-72.2869
1319766964,20260825,COP,POLICE,,RUSCOP,VLADIMIR,RUS,0,080,08,2,5.0,10,2,10,-7.5693913929208,,-65279,4,"Kenscoff, Ouest, Haiti",HA,HA11,17198,18.4506,-72.2869
1319767132,20260825,GBR,BRITAIN,GBR,RUS,RUSSIA,RUS,0,010,01,1,0.0,2,1,2,-4.82546201232033,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319767133,20260825,GBR,UNITED KINGDOM,GBR,RUS,RUSSIA,RUS,0,042,04,1,1.9,4,1,4,-4.82546201232033,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767231,20260825,GOV,PRIME MINISTER,,RUS,RUSSIA,RUS,1,040,04,1,1.0,1,1,1,0.81190798376184,,-2106102,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767232,20260825,GOV,PRIME MINISTER,,RUS,RUSSIA,RUS,1,040,04,1,1.0,1,1,1,0.81190798376184,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767233,20260825,GOV,DEPUTY PRIME MINISTER,,RUS,RUSSIA,RUS,1,043,04,1,2.8,2,1,2,0.81190798376184,,-2106102,4,"New Delhi, Delhi, India",IN,IN07,17911,28.6,77.2
1319767234,20260825,GOV,DEPUTY PRIME MINISTER,,RUS,RUSSIA,RUS,1,043,04,1,2.8,3,1,3,0.81190798376184,,-2960561,4,"New Delhi, Delhi, India",IN,IN07,17911,28.6,77.2
1319767235,20260825,GOV,PRIME MINISTER,,RUSGOV,RUSSIAN,RUS,1,040,04,1,1.0,6,1,6,0.81190798376184,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767236,20260825,GOV,MINIST,,RUSMIL,RUSSIA,RUS,0,010,01,1,0.0,6,1,6,-4.82546201232033,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767433,20260825,LAB,WORKER,,RUS,RUSSIA,RUS,0,160,16,4,-4.0,2,1,2,-4.82546201232033,,-2900223,5,"Dagestan, Dagestan, Russia",RS,RS17,25069,43,47
1319767434,20260825,LAB,WORKER,,RUS,RUSSIA,RUS,0,160,16,4,-4.0,3,1,3,-4.82546201232033,,-2960561,5,"Dagestan, Dagestan, Russia",RS,RS17,25069,43,47
1319767563,20260825,RUS,RUSSIA,RUS,,,,0,043,04,1,2.8,2,1,2,-2.04678362573099,,,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333
1319767564,20260825,RUS,RUSSIA,RUS,,,,0,043,04,1,2.8,6,1,6,-2.04678362573099,,,1,Russia,RS,RS,,60,100
1319767565,20260825,RUS,RUSSIA,RUS,,,,1,050,05,1,3.5,5,1,5,0.81190798376184,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767566,20260825,RUS,RUSSIA,RUS,,,,0,111,11,3,-2.0,10,1,10,-4.82546201232033,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767567,20260825,RUS,KRASNODAR,RUS,,,,0,160,16,4,-4.0,4,1,4,-4.82546201232033,,,5,"Dagestan, Dagestan, Russia",RS,RS17,25069,43,47
1319767568,20260825,RUS,KRASNODAR,RUS,,,,0,160,16,4,-4.0,1,1,1,-4.82546201232033,,,4,"Makhachkala, Dagestan, Russia",RS,RS17,25069,42.9764,47.5024
1319767569,20260825,RUS,MOSCOW,RUS,ARM,ARMENIAN,ARM,0,040,04,1,1.0,3,1,3,-0.83148558758315,,-2325645,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319767570,20260825,RUS,RUSSIA,RUS,ARMGOV,ARMENIA,ARM,0,040,04,1,1.0,1,1,1,-0.83148558758315,,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,4936,40.1811,44.5136
