"field name","english description","russian description","format"
"G35","The amount of shortfall in corporate income tax payments in accordance with paragraphs 1 and 1.2, 1.2-1, 1.10 of Article 284 of the Tax Code of the Russian Federation (thousand rubles) (in relation to residents of special economic zones) to the federal budget for profitable organizations (thousand rubles)","Сумма недопоступления налога на прибыль организаций в соответствии с п.1 и 1.2, 1.2-1, 1.10 ст.  284 НК РФ (тыс. руб.) (в части резидентов особых экономических зон) в федеральный бюджет по прибыльным организациям (тыс. руб.)","integer"
"G36","The amount of shortfall in corporate income tax in accordance with paragraphs 1 and 1.2, 1.2-1, 1.10. 284 of the Tax Code of the Russian Federation (thousand rubles) (in relation to residents of special economic zones) in the budgets of constituent entities of the Russian Federation for profitable organizations (thousand rubles)","Сумма недопоступления налога на прибыль организаций в соответствии с  п.1 и 1.2, 1.2-1, 1.10.  284 НК РФ (тыс. руб.) (в части резидентов особых экономических зон) в бюджеты субъектов Российской Федерации по прибыльным организациям (тыс. руб.)","integer"
"G37","Number of taxpayers who applied reduced tax rates (to lines 1170, 1171 of the report) for profitable organizations (units)","Количество налогоплательщиков, применивших пониженные налоговые ставки (к стр.1170, 1171 отчета) по прибыльным организациям (ед)","integer"
"G38","The amount of shortfall in corporate income tax in accordance with paragraph 5.1 of Article 284 of the Tax Code of the Russian Federation (thousand rubles) (in relation to participants in the Skolkovo project and INTC projects) for profitable organizations (thousand rubles)","Сумма недопоступления налога на прибыль организаций в соответствии с п. 5.1 ст.  284 НК РФ (тыс. руб.) (в части участников проекта «Сколково» и проектов ИНТЦ) по прибыльным организациям (тыс. руб.)","integer"
"G39","The number of taxpayers who applied the 0 percent tax rate (to line 1175 of the report) for profitable organizations (units)","Количество налогоплательщиков, применивших налоговую ставку 0 процентов (к стр.1175 отчета) по прибыльным организациям (ед)","integer"
"G40","Total amount of shortfall in corporate income tax receipts due to the provision of preferences [(line 1115 + line 1117+ line 1118+ line 1157 + line 1160 + line 1170+ line 1171+ line 1175)] (thousand rubles)","Всего сумма недопоступления налога на прибыль организаций в связи с предоставлением  преференций [(строка 1115 + строка 1117+ строка 1118+ строка 1157 + строка 1160 +строка 1170+строка 1171+ строка 1175)] (тыс.руб.)","integer"
"G41","The amount of trade tax by which the calculated advance payments (tax) to the budget of the constituent entity of the Russian Federation are reduced (thousand rubles)","Сумма торгового сбора, на которую уменьшены исчисленные авансовые платежи (налог) в бюджет субъекта Российской Федерации (тыс. руб.)","integer"
"G42","Reference - the number of taxpayers, data on which are provided in Section A of profitable organizations (units)","Справочно - количество налогоплательщиков, данные по которым приведены в Разделе А прибыльных организаций (ед)","integer"
"G43","For reference - the number of taxpayers, data on which are provided in Section A of unprofitable organizations (units)","Справочно - количество налогоплательщиков, данные по которым приведены в Разделе А убыточных организаций (ед)","integer"
"G44","The number of organizations that submitted zero reporting (no indicators in lines 010-120 of Sheet 02, no indicators in Appendices 1, 2, 5 to Sheet 02, Sheets 03, 04, 05, 07, 09) (units)","Количество организаций, представивших нулевую отчетность (отсутствуют показатели по строкам 010-120 Листа 02, отсутствуют показатели в приложениях 1, 2, 5  к Листу 02, Листах 03, 04, 05, 07, 09) (ед)","integer"
"G45","Number of organizations that submitted a single (simplified) tax return (units)","Количество организаций, представивших единую (упрощенную) налоговую декларацию (ед)","integer"
"G46","Reference: Number of non-profit organizations (including theaters, museums, libraries, concert organizations that are budgetary institutions) submitting declarations only for the tax period (units)","Справочно:
Количество некоммерческих организаций (в том числе театров, музеев, библиотек, концертных организаций, являющихся бюджетными учреждениями), представляющих декларации только за налоговый период (ед)","integer"
"G47","Revenues of organizations engaged in educational activities (thousand rubles)","Доходы организаций, осуществляющих образовательную деятельность (тыс. руб.)","integer"
"G48","Income of organizations engaged in medical activities (thousand rubles)","Доходы организаций, осуществляющих  медицинскую деятельность(тыс. руб.)","integer"
"G49","Revenues of organizations engaged in educational and medical activities (thousand rubles)","Доходы организаций, осуществляющих образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G50","Expenses of organizations engaged in educational activities (thousand rubles)","Расходы организаций, осуществляющих образовательную деятельность(тыс. руб.)","integer"
"G51","Expenses of organizations, medical activities (thousand rubles)","Расходы организаций, медицинскую деятельность(тыс. руб.)","integer"
"G52","Expenses of organizations engaged in educational and medical activities (thousand rubles)","Расходы организаций, осуществляющих образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G53","Tax base for calculating the tax of organizations engaged in educational activities (thousand rubles)","Налоговая база для исчисления налога организаций, осуществляющих образовательную деятельность(тыс. руб.)","integer"
"G54","Tax base for calculating the tax of organizations engaged in medical activities (thousand rubles)","Налоговая база для исчисления налога организаций, осуществляющих медицинскую деятельность(тыс. руб.)","integer"
"G55","Tax base for calculating the tax of organizations engaged in educational and medical activities (thousand rubles)","Налоговая база для исчисления налога организаций, осуществляющих образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G56","The amount of tax shortfall due to the application of the zero rate for organizations engaged in educational activities (thousand rubles)","Сумма недопоступления налога  в связи с применением нулевой ставки организаций, осуществляющих образовательную деятельность(тыс. руб.)","integer"
"G57","The amount of tax shortfall due to the application of the zero rate for organizations engaged in medical activities (thousand rubles)","Сумма недопоступления налога  в связи с применением нулевой ставки организаций, существляющих медицинскую деятельность (тыс. руб.)","integer"
"G58","The amount of tax shortfall due to the application of the zero rate for organizations engaged in educational and medical activities (thousand rubles)","Сумма недопоступления налога  в связи с применением нулевой ставки организаций, существляющих образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G59","The amount of tax shortfall in the federal budget due to the application of the zero rate for organizations engaged in educational activities (thousand rubles)","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевой ставки организаций, существляющих образовательную деятельность(тыс. руб.)","integer"
"G60","The amount of tax shortfall in the federal budget due to the application of the zero rate for organizations engaged in medical activities (thousand rubles)","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевой ставки организаций, существляющих медицинскую деятельность(тыс. руб.)","integer"
"G61","The amount of tax shortfall in the federal budget due to the application of the zero rate for organizations engaged in educational and medical activities (thousand rubles)","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевой ставки организаций, существляющих образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G62","The amount of loss calculated for tax purposes by organizations engaged in educational activities (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями, осуществляющими образовательную деятельность(тыс. руб.)","integer"
"G63","The amount of loss calculated for tax purposes by organizations engaged in medical activities (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями, осуществляющими медицинскую деятельность (тыс. руб.)","integer"
"G64","The amount of loss calculated for tax purposes by organizations engaged in educational and medical activities (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями, осуществляющими образовательную и  медицинскую деятельность(тыс. руб.)","integer"
"G65","The number of taxpayers, data on which are provided in Section B for organizations carrying out educational activities, total (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б по организациям, осуществляющим образовательную  деятельность, всего (ед.)","integer"
"G66","The number of taxpayers, data on which are provided in Section B for organizations carrying out medical activities, total (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б по организациям, осуществляющим медицинскую деятельность, всего (ед.)","integer"
"G67","The number of taxpayers, data on which are provided in Section B for organizations carrying out educational and medical activities, total (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б по организациям, осуществляющим образовательную и  медицинскую деятельность, всего (ед.)","integer"
"G68","The number of taxpayers, data on which are provided in Section B, including unprofitable organizations engaged in educational activities (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б, в том числе убыточных организаций, осуществляющих образовательную деятельность(ед.)","integer"
"G69","The number of taxpayers, data on which are provided in Section B, including unprofitable organizations engaged in medical activities (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б, в том числе убыточных организаций, осуществляющих медицинскую деятельность (ед.)","integer"
"G70","The number of taxpayers, data on which are provided in Section B, including unprofitable organizations engaged in educational and medical activities (units)","Количество налогоплательщиков, данные по которым приведены в Разделе Б, в том числе убыточных организаций, осуществляющих образовательную и  медицинскую деятельность,  (ед.)","integer"
"G71","Income of organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Доходы организаций - участников региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G72","Income of organizations participating in regional investment projects that applied for the benefit (thousand rubles)","Доходы организаций - участников региональных инвестиционных проектов, подавших заявление о применении льготы (тыс. руб.)","integer"
"G73","Income of organizations - residents of the territory of advanced socio-economic development (thousand rubles)","Доходы организаций - резидентов территоии опережающего социально-экономического развития (тыс. руб.)","integer"
"G74","Expenses of organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Расходы организаций - участников региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G75","Expenses of organizations participating in regional investment projects that have applied for the benefit (thousand rubles)","Расходы организаций - участников региональных инвестиционных проектов, подавших заявление о применении льготы (тыс. руб.)","integer"
"G76","Expenses of organizations - residents of the territory of advanced socio-economic development (thousand rubles)","Расходы организаций - резидентов территоии опережающего социально-экономического развития (тыс. руб.)","integer"
"G77","Tax base for calculating taxes by organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Налоговая база для исчисления налога организациями - участниками региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G78","Tax base for calculating the tax by organizations participating in regional investment projects that have submitted an application for the benefit (thousand rubles)","Налоговая база для исчисления налога организациями - участниками региональных инвестиционных проектов, подавших заявление о применении льготы(тыс. руб.)","integer"
"G79","Tax base for calculating taxes by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Налоговая база для исчисления налога организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G80","The amount of calculated income tax to the federal budget by organizations participating in regional investment projects included in the register of participants in regional investment projects (thousand rubles)","Сумма исчисленного налога на прибыль в федеральный бюджет организациями - участниками региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G81","The amount of calculated income tax to the federal budget by organizations participating in regional investment projects that have submitted an application for the benefit (thousand rubles)","Сумма исчисленного налога на прибыль в в федеральный бюджет организациями - участниками региональных инвестиционных проектов, подавших заявление о применении льготы (тыс. руб.)","integer"
"G82","The amount of calculated income tax to the budgets of constituent entities of the Russian Federation by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Сумма исчисленного налога на прибыль в бюджеты субъектов Российской Федерации организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G83","The amount of calculated income tax to the budgets of the constituent entities of the Russian Federation by organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Сумма исчисленного налога на прибыль в бюджеты субъектов Российской Федерации организациями - участниками региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G84","The amount of calculated income tax to the budgets of the constituent entities of the Russian Federation by organizations participating in regional investment projects that submitted an application for the benefit (thousand rubles)","Сумма исчисленного налога на прибыль в бюджеты субъектов Российской Федерации организациями - участниками региональных инвестиционных проектов, подавших заявление о применении льготы (тыс. руб.)","integer"
"G85","The amount of calculated income tax to the budgets of constituent entities of the Russian Federation by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Сумма исчисленного налога на прибыль в бюджеты субъектов Российской Федерации организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G86","The amount of tax shortfall due to the application of zero and reduced tax rates by organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Сумма недопоступления налога в связи с применением нулевых и пониженных налоговых ставок организациями - участниками региональных инвестиционных проектов, включенных в реестр участников РИП (тыс. руб.)","integer"
"G87","The amount of tax shortfall due to the application of zero and reduced tax rates by organizations participating in regional investment projects that submitted an application for the benefit (thousand rubles)","Сумма недопоступления налога в связи с применением нулевых и пониженных налоговых ставок организациями - участниками региональных инвестиционных проектов, подавших заявление о применении льготы (тыс. руб.)","integer"
"G88","The amount of tax shortfall due to the application of zero and reduced tax rates by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Сумма недопоступления налога в связи с применением нулевых и пониженных налоговых ставок организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G89","The amount of tax shortfall in the federal budget due to the application of zero and reduced tax rates by organizations participating in regional investment projects included in the register of RIP participants","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевых и пониженных налоговых ставок организациями - участниками региональных инвестиционных проектов, включенные в реестр участников РИП","integer"
"G90","The amount of tax shortfall in the federal budget due to the application of zero and reduced tax rates by organizations participating in regional investment projects that submitted an application for the benefit (thousand rubles)","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевых и пониженных налоговых ставок организациями - участниками региональных инвестиционных проектов, подавшие заявление о применении льготы (тыс. руб.)","integer"
"G91","The amount of tax shortfall in the federal budget due to the application of zero and reduced tax rates by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Сумма недопоступления налога в федеральный бюджет в связи с применением нулевых и пониженных налоговых ставок организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G92","The amount of loss calculated for taxation by organizations participating in regional investment projects included in the register of RIP participants (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями - участниками региональных инвестиционных проектов, включенные в реестр участников РИП (тыс. руб.)","integer"
"G93","The amount of loss calculated for tax purposes by organizations participating in regional investment projects that have applied for the benefit (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями - участниками региональных инвестиционных проектов, подавшие заявление о применении льготы (тыс. руб.)","integer"
"G94","The amount of loss calculated for taxation by organizations - residents of territories of advanced socio-economic development (thousand rubles)","Сумма убытка, исчисленного при налогообложении организациями - резидентами территорий опережающего социально-экономического развития (тыс. руб.)","integer"
"G95","The number of taxpayers (loss-making organizations), data on which are provided in Section B - participants in regional investment projects included in the register of participants in RIP (units)","Количество налогоплательщиков (убыточных организаций), данные по которым приведены в Разделе В - участников региональных инвестиционных проектов, включенные в реестр участников РИП (ед.)","integer"
"G96","The number of taxpayers (loss-making organizations), data on which are provided in Section B - participants in regional investment projects who submitted an application for the benefit (units)","Количество налогоплательщиков (убыточных организаций), данные по которым приведены в Разделе В  - участников региональных инвестиционных проектов, подавшие заявление о применении льготы(ед.)","integer"
"G97","The number of taxpayers (loss-making organizations), data on which are provided in Section B - residents of territories of advanced socio-economic development (units)","Количество налогоплательщиков (убыточных организаций), данные по которым приведены в Разделе В   - резидентов территорий оопережающего социально-экономического развития (ед.)","integer"
"G98","Income of organizations – residents of the special economic zone in the Kaliningrad region (thousand rubles)","Доходы организаций – резидентов особой экономической зоны в Калининградской области (тыс. руб.)","integer"
"G99","Income of organizations participating in the free economic zone, residents of the free port of Vladivostok (thousand rubles)","Доходы организаций – участников свободной экономической зоны, резиденты свободного порта Владивосток (тыс. руб.)","integer"
"G100","Income of organizations participating in special investment contracts (thousand rubles)","Доходы организаций – участников специальных инвестиционных контрактов (тыс. руб.)","integer"
"G101","Expenses of organizations – residents of the special economic zone in the Kaliningrad region (thousand rubles)","Расходы организаций – резидентов особой экономической зоны в Калининградской области (тыс. руб.)","integer"
"G102","Expenses of organizations participating in the free economic zone, residents of the free port of Vladivostok (thousand rubles)","Расходы организаций – участников свободной экономической зоны, резиденты свободного порта Владивосток (тыс. руб.)","integer"
"G103","Expenses of organizations participating in special investment contracts (thousand rubles)","Расходы организаций – участников специальных инвестиционных контрактов (тыс. руб.)","integer"
"G104","The amount of losses from previous tax periods that reduced the tax base of organizations resident in the special economic zone in the Kaliningrad region (thousand rubles)","Сумма убытков предыдущих налоговых периодов, уменьшивших налоговую базу организациям-резидентам особой экономической зоны в Калининградской области (тыс. руб.)","integer"
"G105","The amount of losses from previous tax periods that reduced the tax base of organizations participating in the free economic zone, residents of the free port of Vladivostok (thousand rubles)","Сумма убытков предыдущих налоговых периодов, уменьшивших налоговую базу организациям-участникамм свободной экономической зоны, резиденты свободного порта Владивосток (тыс. руб.)","integer"
"G106","The amount of losses from previous tax periods that reduced the tax base of organizations participating in special investment contracts (thousand rubles)","Сумма убытков предыдущих налоговых периодов, уменьшивших налоговую базу организациям-участниками специальных инвестиционных контрактов (тыс. руб.)","integer"
"G107","Tax base for calculating taxes by organizations – residents of the special economic zone in the Kaliningrad region (thousand rubles)","Налоговая база для исчисления налога организациями – резидентами особой экономической зоны в Калининградской области (тыс. руб.)","integer"
