"field name","english description","russian description","format"
"G15","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 7/107% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7/107% Начислено - всего тыс.рублей","integer"
"G16","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 7/107% accrued according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7/107% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. .тыс.рублей","integer"
"G17","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services) at a tax rate of 7/107% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7/107% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G18","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 7/107% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 7/107% (единиц)","integer"
"G19","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 9.09% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 9,09% Начислено - всего тыс.рублей","integer"
"G20","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 9.09% accrued on declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousands of rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 9,09% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс.рублей","integer"
"G21","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 9.09% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 9,09% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G22","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 9.09% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 9,09% (единиц)","integer"
"G23","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 10% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10% Начислено - всего тыс.рублей","integer"
"G24","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 10% accrued on declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс.рублей","integer"
"G25","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 10% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G26","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 10% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 10% (единиц)","integer"
"G27","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 10/110% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10/110% Начислено - всего тыс.рублей","integer"
"G28","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 10/110% accrued according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousands of rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10/110% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс.рублей","integer"
"G29","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services) at a tax rate of 10/110% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 10/110% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G30","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 10/110% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 10/110% (единиц)","integer"
"G31","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 18% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 18% Начислено - всего тыс.рублей","integer"
"G32","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for payment of taxable goods (works, services) at a tax rate of 20% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 20% Начислено - всего тыс.рублей","integer"
"G33","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 20% accrued on declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousands of rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 20% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс.рублей","integer"
"G34","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 20% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 20% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G35","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 20% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 20% (единиц)","integer"
