G0;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414
Республика Коми;344 832 605;36 001 465;42 912 540;7 614 544;302 029 256;43 551 707;37 733 716;8 250 029;117 127;110 173;499 653;10 739;82 033;2 473;47 518 284;8 921 166;149;38 597 118;8 084 553;7 273 665;771 942;0;473 082;48 204;894 605;13 522;45 884;1 358;1 784 234;445 758;6;0;0;0;0;0;0;20 504 789;25 670 768;2 741;603;1 725;610;1 136;31;1 845 919;180 242;1 716 808;168 553;129 193;11 798;25 838;2 360;2 585;235;80;110;156;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355 773;409 955;0;0;0;54 182;2;2;6 878 437;6 399 965;1 027 369;548 898;205 474;20 548;16;6;3;4;0;0;0;0;0;0;208;3 649;284 798;282 830;0;0;4 880;14 939 747;687 878;9 527 227;8 954;20 900;6 404;0;0;0;0;0;0;0;9 499 857;66;0;0;0;0;0;0;0;0;0;0;0;15 328;1;61;157 303;2 611 669;0;0;964;2;13 249;2;0;0;0;0;0;0;438 474;6;13 984;1;0;0;0;0;0;0;256;1;0;0;4 449;1;0;0;0;0;0;0;30;1;148;3;0;0;0;0;10 502;6;9 697;6;2 871;6;38 511;29;2;1;151;2;49 679;5;75 349;18;2 832;10;6 998;9;48;1;565;2;81 696;31;0;0;0;0;0;0;0;0;993;1;11 792 743;1 228;327 565;58;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24 359;23;0;0;0;0;1 729 446;9;0;0;1 366;3;0;0;0;0;1 257;1;803 550;9;0;0;5 300;6;0;0;0;0;309 593;73;800;3;295 981;172;894;2;0;0;0;0;9 089;3;75 976;18;344 787;12;242 929;6;557;5;0;0;49 965;7;0;0;0;0;6 827;9;155 148;25;0;0;0;0;9 696;3;677;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 305;8;0;0;668 141;3;0;0;9 211;25;0;0;727 335;1;1 124;1;0;0;4 108;2;17 539;3;0;0;0;0;1 408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1
Республика Марий-Эл;286 228 075;54 503 174;10 289 118;3 731 494;267 468 263;56 584 674;11 719 645;5 531 866;125 851;301 457;7 477;203 757;145 239;261;17 305 580;564 192;97;16 741 388;3 388 663;3 322 591;334 828;8;1 675 757;167 826;182 363;6 743;17 926;674;112 838;25 686;4;0;0;0;0;0;0;2 127 086;9 953 213;3 042;434;1 088;322;595;511;654 235;179 249;577 262;165 361;77 296;16 741;15 459;3 348;1 546;335;323;2 853;47;33;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22 063 764;24 632 910;987 934;197 586;19 759;3 557 080;13;4;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;138 175;129 383;838 436;439 469;0;0;398 973;1 162 881;652 293;184;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 340;0;0;0;0;0;0;0;8 549;3;34;83 730;640 475;0;0;2 905;3;31;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;88;1;0;0;7 922;3;21 075;7;0;0;0;0;0;0;11 113;3;0;0;1 379;1;376;1;0;0;11 304;8;0;0;0;0;0;0;0;0;0;0;5 866 781;974;82 292;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25 578;11;0;0;0;0;635 947;4;0;0;0;0;0;0;0;0;0;0;3 248 229;11;0;0;5 221;2;0;0;0;0;62 049;42;81 529;10;57 011;75;2 420;2;0;0;0;0;27 415;5;16 342;4;0;0;10 511;7;1 546;12;0;0;0;0;0;0;0;0;66;1;4 994;3;0;0;0;0;41 570;3;2 781;2;6 607;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 297;6;0;0;53 714;53;0;0;25 564;84;0;0;0;0;19 465;4;0;0;10 360;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Республика Мордовия;288 008 198;52 289 250;18 072 772;7 649 735;277 202 681;55 839 932;17 464 617;9 784 221;344 327;70 140;152 488;140 873;18 220;0;11 617 678;1 726 607;104;9 891 071;5 719 550;1 939 258;197 818;0;548 995;55 513;252 622;11 873;24 388;1 188;345 322;38 939;8;0;0;0;0;0;0;5 029 961;19 479 782;2 731;305;1 380;307;738;48;551 348;0;500 828;0;50 519;0;10 103;0;1 010;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27 377 864;24 070 375;3 681 777;735 765;73 577;374 288;62;11;55 533;57 163;0;1 630;0;0;1;1;6;1;0;0;0;0;0;0;116 537;112 408;5 689 154;1 623 025;0;0;66 661;908 184;415 101;42;10;0;6 100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 816;7;48;123 840;1 577 875;460;1;0;0;0;0;0;0;0;0;0;0;115;1;0;0;0;0;0;0;0;0;0;0;0;0;1 100 905;1;0;0;0;0;0;0;0;0;47;1;0;0;0;0;1 351;2;1 996;2;2 369;6;8 414;9;0;0;2 183;1;2 081;2;16 278;5;2 783;3;4 495;2;191;1;0;0;27 618;11;0;0;0;0;0;0;0;0;46;1;10 493 698;1 003;113 248;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45 547;15;93 408;2;0;0;559 026;3;0;0;0;0;0;0;0;0;0;0;1 361 735;6;118 333;1;716 979;1;0;0;0;0;924 052;70;104 876;9;75 456;73;0;0;0;0;0;0;53 602;8;479 592;30;161 606;15;0;0;28 930;13;0;0;0;0;0;0;18 501;5;814;3;14 951;11;0;0;738;1;9 510;3;1 639;2;0;0;0;0;0;0;28;1;178;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 393;4;0;0;178;1;0;0;1 882;6;0;0;98 510;2;1 135;1;0;0;7 420;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Саха (Якутия);720 949 294;42 091 332;216 166 600;18 025 270;534 863 989;55 307 905;153 162 817;16 641 467;326 278;88 498;20 898 125;574 192;46 098;4 310;228 938 566;13 736 976;100;215 306 665;12 136 961;43 015 297;4 306 133;85;3 310 917;331 351;879 443;142 924;89 350;14 291;2 747 395;46 036;4;0;0;0;0;0;0;32 278 129;28 494 368;2 434;689;1 538;498;1 076;423;1 048 097;204 767;1 001 153;172 055;51 277;39 535;10 255;7 907;1 026;791;4 698;6 824;334;8;5;2;2 262 583;0;2 237 932;0;24 651;0;4 437;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46 995;43 128;3 867;773;77;0;4;0;1 556 733;1 421 339;135 393;0;27 079;2 708;4;0;1;17;0;0;0;0;0;0;5 250 278;6 161 635;2 155 101;1 607 686;0;0;624 163;33 754 688;937 285;12 839;2 825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125 302;3;45;1 580 114;9 773 045;0;0;0;0;24 128;2;0;0;0;0;0;0;266 984;3;246 250;3;0;0;0;0;0;0;211 883;1;0;0;11 572;1;0;0;0;0;0;0;0;0;0;0;0;0;23 738;1;10 874;6;1 156;2;9 796;6;337 716;19;0;0;0;0;602 769;2;288 466;4;27 345;7;17 474;4;61 908;2;813;1;202 067;19;0;0;0;0;0;0;0;0;0;0;29 923 599;1 008;1 202 420;6;0;0;110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60 333;25;19 997;3;0;0;5 215 591;15;0;0;0;0;0;0;0;0;0;0;23 561 039;19;248 447;1;19 546;3;18;1;0;0;2 598 532;94;560 963;21;2 235 542;49;151;1;0;0;0;0;477 123;9;1 687 899;35;886 577;32;10 556;5;18 717;19;0;0;148 827;5;0;0;60;1;1 672;3;35 876;13;0;0;0;0;46 685;10;30 185;1;4 059;4;0;0;0;0;0;0;32;1;0;0;0;0;110;1;0;0;0;0;0;0;0;0;0;0;55 284;25;0;0;0;0;0;0;31 945;10;0;0;1 861 407;3;4 638;2;0;0;16 849;4;0;0;0;0;11 367 291;0;1 930 669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2
Республика Северная Осетия-Алания;63 075 215;2 742 047;2 887 475;699 839;59 413 623;3 704 307;3 397 107;1 362 598;79 051;5 537;6 833;0;422;0;3 224 307;649 301;17;2 577 470;1 619 481;515 489;51 549;74;125 633;12 630;30 046;1 448;2 990;145;129 860;15;4;0;0;0;0;0;0;1 392 849;1 932 511;884;161;788;479;767;8;789 691;0;700 708;0;115 524;0;23 105;0;2 311;0;26 541;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22 138;48 329;147;29;3;26 338;4;1;8 000;7 987;13;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115 849;197 579;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 265;1;3;2 122;68 344;0;0;3 312;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 323 285;324;1 217;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 880;7;0;0;0;0;119 862;1;0;0;0;0;0;0;0;0;0;0;686;1;0;0;0;0;0;0;0;0;4 967;9;0;0;3 347;9;0;0;0;0;0;0;378 536;10;18 589;2;65 636;2;75;1;150;1;0;0;0;0;0;0;0;0;0;0;1 087;4;0;0;0;0;803;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;0;0;83 510;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Татарстан;5 364 347 262;539 423 307;814 704 389;225 501 718;4 998 035 618;578 714 430;702 300 512;252 089 070;7 564 739;2 248 462;51 123 564;3 114 356;842 671;17 340;439 870 762;74 294 830;653;365 575 974;65 928 176;72 889 306;7 309 012;227;11 739 479;1 171 495;1 735 234;125 388;173 781;12 529;14 858 966;28 352;8;2 433;194 992;11;0;0;0;130 750 515;158 572 447;30 555;2 715;15 334;3 930;15 706;554;8 549 201;25 054;7 813 788;22 864;757 727;2 189;151 545;438;15 155;44;22 318;0;171;4;11;0;0;4 662 005;0;4 736 247;0;27 430;0;1 371;0;4 115;0;549;0;314 270;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73 653 300;68 657 224;7 746 790;1 549 316;154 935;2 750 714;142;26;9 128 900;8 431 369;702 444;318 044;140 489;14 049;29;6;25;7;0;0;0;0;0;0;159 738 411;147 664 543;627 938 557;623 067 708;0;0;6 125 473;78 255 159;13 154 281;894 604;191 021;226 421;8 000;246;0;989 312;0;8 712;0;0;0;0;107 796;5 825;0;146 250;0;0;84 942;0;0;0;366 270;1 142 269;42;376;3 261 815;26 519 662;49 174;2;8 190;4;2 433;4;0;0;0;0;0;0;1 085 798;17;246 738;5;0;0;6 740 061;2;0;0;13 740;1;0;0;4 539 664;16;0;0;0;0;0;0;0;0;21 912;11;0;0;709;1;132 314;28;40 157;17;595 326;45;417 419;130;3 084 934;9;242 242;26;389 998;76;946 326;125;210 242;57;184 854;24;39 783;10;75 372;17;485 187;176;0;0;0;0;721;1;13 873;3;1 392;3;128 928 379;8 424;6 647 402;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 240 311;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455 623;44;26 515;3;0;0;4 869 361;19;1 172 417;1;486 007;11;10 448;1;0;0;0;0;8 394 000;35;29 308 857;5;2 958 650;13;0;0;0;0;882 678;93;886 403;15;2 742 140;179;0;0;0;0;2 332;2;8 173 822;29;54 579 993;50;1 782 234;71;74 087;3;327 937;95;0;0;719 025;11;0;0;879;7;22 174;18;3 512;7;0;0;0;0;2 329;5;121 819;2;0;0;0;0;0;0;398;1;13 858;1;0;0;6 183;1;0;0;0;0;0;0;0;0;0;0;0;0;226 602;29;0;0;143 276;4;0;0;368 316;155;0;0;81 970;3;5 258;3;50;1;12 125;4;0;0;0;0;450 649;21 378;879 973;0;417 215;0;0;0;417 215;0;0;83 443;0;39 387;0;44 069;0;22;4;16
Республика Тыва;21 324 868;4 382 905;5 735 644;685 097;17 543 951;5 035 281;3 473 497;913 472;6 650;8 068;0;0;0;0;6 049 714;4 970 573;3;1 079 141;872 683;215 828;21 583;0;122 734;12 273;19 771;26;2 116;3;994 115;0;0;0;0;0;0;0;0;5 068 069;5 813 111;344;47;124;62;133;744;38 172;0;36 438;0;1 734;0;347;0;35;0;0;0;2;0;0;0;19 255 690;0;13 826 610;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3 832;67 732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890;1;0;0;41;1;2 465;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;977;1;0;0;0;0;0;0;0;0;0;0;937 495;76;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 459;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 969;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;1;36 595;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Удмуртская Республика;946 832 555;72 667 707;216 821 243;4 805 903;862 815 292;73 542 230;172 572 122;12 691 405;211 549;115 170;7 148 522;444 570;29 931;5;121 627 597;9 293 943;269;112 334 068;9 089 207;22 121 111;2 246 674;0;4 565 726;464 576;653 452;375 431;62 742;37 552;1 858 788;344 001;35;0;0;0;0;0;0;22 305 692;17 237 841;9 669;1 054;3 490;1 772;4 095;66;2 804 533;17 422;2 492 804;16 793;310 915;629;62 183;126;6 218;13;4 520;0;165;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15 360 004;14 665 344;914 160;182 832;18 284;219 500;34;8;102 201;160 386;7 340;65 524;1 468;147;6;2;1;0;0;0;0;0;0;0;6 880 190;6 913 021;9 874 777;9 662 540;16 580;16 580;328 819;2 244 640;325 344;38 121;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;38 073;0;78 420;10;133;573 208;3 662 862;0;0;6 074;2;0;0;0;0;0;0;0;0;330 066;8;0;0;0;0;0;0;0;0;10 676;2;0;0;3 756;2;0;0;0;0;0;0;0;0;36 266;5;0;0;0;0;11 228;16;16 661;4;21 813;16;116 788;53;0;0;0;0;98 034;13;164 141;38;73 633;22;27 350;21;18 176;6;2 839;3;131 272;68;0;0;0;0;0;0;0;0;4;1;17 160 819;2 875;425 829;19;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40 972;15;7 898;1;0;0;6 393 380;24;0;0;11 140;3;0;0;0;0;0;0;2 987 871;9;0;0;183 870;5;0;0;0;0;78 642;37;105 482;13;181 355;202;0;0;0;0;0;0;135 138;16;547 534;104;513 541;137;22 957;3;165 054;143;0;0;0;0;2 500;1;269;2;6 393;19;8 428;7;0;0;0;0;8 700;5;11 198;8;9 891;2;0;0;0;0;0;0;0;0;0;0;153;1;78 277;1;0;0;0;0;0;0;0;0;0;0;39 174;49;0;0;31 596;8;0;0;35 816;56;0;0;78 694;3;65 140;13;1 937;2;1 928;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Хакасия;180 130 928;15 574 551;15 821 766;2 174 781;165 459 033;16 949 342;10 841 611;2 762 847;129 261;5 263;1 001 447;0;12 757;0;18 771 479;5 431 337;55;13 342 821;1 957 594;2 483 236;266 856;0;546 242;58 916;113 505;1 090;11 837;109;1 086 268;181 773;3;0;0;0;0;0;0;3 419 742;5 383 189;1 525;189;1 056;137;583;21;228 937;1 449;210 084;1 449;18 852;0;3 770;0;377;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303 387;325 277;9 644;1 929;193;31 534;5;2;676 240;173 623;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;32 234;27 916;0;0;4 371;5 181 983;270 706;1 004 851;0;715 325;0;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 949;0;0;0;0;5 265;1;28;43 518;619 733;0;0;62;1;0;0;0;0;0;0;0;0;700 393;1;173 524;3;0;0;0;0;0;0;115 447;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13 237;8;62 812;1;3 038;7;14 042;9;0;0;0;0;840;1;15 214;7;1 432;5;15 246;1;13 976;1;0;0;14 043;9;0;0;0;0;0;0;0;0;0;0;4 118 421;468;3 608;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60 788;28;0;0;0;0;575 948;2;0;0;0;0;0;0;0;0;0;0;2 170 727;12;7 954;1;0;0;0;0;0;0;17 023;31;154 283;2;66 247;69;454 005;1;0;0;0;0;472 859;47;757 018;56;2 370 774;116;34 423;2;21 440;13;0;0;23 695;2;0;0;4 493;3;2 590;7;1 243;3;0;0;0;0;0;0;1 256;1;32;1;0;0;82;1;0;0;0;0;0;0;1 318;1;2 050;1;0;0;0;0;0;0;0;0;0;0;1 809;5;0;0;31 753;8;0;0;3 520;7;0;0;62 342;2;0;0;1 153;1;3 598;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чеченская Республика;106 739 315;22 586 485;3 764 793;1 717 596;105 602 632;29 170 484;2 842 603;1 205 894;7 475;0;13;0;0;0;2 066 337;303 990;6;1 762 347;5 647 945;343 601;34 383;0;55 303;5 543;24 665;56;2 468;6;60 798;233;4;0;0;0;0;0;0;771 441;5 681 282;928;85;999;971;1 357;1;480 618;0;494 870;0;8 488;0;1 698;0;170;0;22 741;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732 778;727 771;5 007;1 001;100;0;8;0;65 979;106 549;0;40 570;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5 095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 939 041;135;64 851;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16 938;1;0;0;0;0;0;0;0;0;0;1;943;1;20 494;1;0;0;0;0;0;0;0;0;15 081;1;14 251;2;0;0;510;1;0;0;0;0;0;0;0;0;370;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чувашская Республика;343 214 894;49 107 632;20 622 432;4 786 568;316 888 317;54 871 319;18 613 639;12 125 200;95 889;64 047;1 166 355;314 556;117 242;1 850;27 174 788;1 835 122;193;25 339 667;13 354 501;5 064 259;506 664;0;1 119 813;111 968;254 064;2 466;25 472;263;367 025;2 378;3;0;0;0;0;0;0;3 640 606;61 272 089;5 097;421;1 500;580;1 431;238;2 210 755;10 064;1 962 561;9 631;251 167;434;50 234;87;5 023;9;2 973;0;92;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 203 290;1 036 811;166 479;33 295;3 329;0;10;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;598 022;466 898;5 070 366;5 315 188;0;0;27 300;2 907 054;2 284 892;88 018;5 645;0;396 933;0;0;0;0;0;0;0;0;0;67 320;680;0;0;0;0;0;0;0;0;0;488 835;14;118;124 810;713 788;3 554;3;737;2;0;0;0;0;0;0;0;0;186;1;0;0;0;0;0;0;0;0;0;0;0;0;31 332;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 894;5;2 067;5;94 835;9;12 386;17;67;1;0;0;378;1;16 699;11;847;7;110;3;33;1;676;1;7 704;18;0;0;0;0;0;0;501;1;0;0;8 459 193;1 899;25 560;7;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87 097;16;0;0;0;0;3 709 796;16;0;0;830;2;0;0;0;0;0;0;2 944 401;11;10 111 683;3;827 165;9;0;0;0;0;147 626;92;593;3;119 414;64;28 711;5;0;0;0;0;28 780;7;62 271;14;6 820;4;158 432;3;21 524;16;0;0;233 380;5;0;0;214;1;19 054;13;5 679;9;0;0;0;0;1 939;5;31 580;3;1 332;2;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76 599;9;0;0;9 925;3;50;0;3 816;1;169;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
