G0;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414;G415;G416;G417
Республика Коми;360 568 967;38 939 230;60 379 390;7 219 673;318 684 501;44 193 532;32 568 859;8 538 080;81 652;212 703;29 938 367;17 738;37 812;0;39 801 270;1 929 674;126;37 871 597;6 377 740;7 175 259;1 136 145;0;543 405;84 876;872 657;13 461;75 728;1 935;385 935;399 061;4;0;0;0;0;0;0;7 603 204;35 934 111;2 420;558;1 550;545;1 118;19;2 059 483;264 370;1 924 885;244 480;136 586;20 107;27 317;4 021;4 098;603;1 988;217;161;26;3;2;0;0;425;0;0;506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29 589;65 254;0;0;0;35 665;3;3;3 231 413;3 994 746;33 944;798 894;6 788;1 018;16;8;3;0;0;0;0;0;0;0;0;0;471 427;489 435;0;0;799;5 890 025;633 630;14 782;23;5 000;0;0;0;0;0;0;0;0;1 118;9 029;0;0;0;0;0;0;0;0;0;0;0;34 157;1;61;195 940;2 221 884;0;0;1 450;1;176;1;0;0;0;0;0;0;149 602;4;6 557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;1;153;2;0;0;0;0;12 620;7;11 381;5;24 735;6;31 135;25;2;1;119;1;14 713;4;76 897;16;2 692;8;3 931;6;59;1;443;2;48 647;30;0;0;0;0;0;0;0;0;0;0;11 445 054;1 102;357 051;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14 199;13;0;0;0;0;1 707 584;6;0;0;7 056;4;0;0;0;0;0;0;1 590 592;12;0;0;442;1;0;0;0;0;432 852;92;11 219;3;374 686;184;1 205;1;0;0;0;0;13 595;2;446 423;21;260 247;13;3 217;3;9 657;7;0;0;38 452;13;0;0;0;0;7 002;9;166 313;29;0;0;0;0;247 150;4;700;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 482;3;0;0;677 236;2;0;0;10 843;17;0;0;343 009;2;4 505;1;0;0;4 284;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Республика Марий-Эл;292 354 731;47 873 442;12 006 127;2 003 804;274 840 258;48 459 097;12 372 407;5 011 831;96 677;603 878;3 290;6 714;20 097;0;17 230 485;236 604;96;16 993 882;2 996 518;3 375 921;509 815;0;323 799;48 832;145 143;42 150;21 821;6 308;47 321;22 855;5;0;0;0;0;0;0;1 908 567;11 532 408;2 782;411;1 154;261;413;236;994 509;226 710;901 370;192 976;90 952;33 830;18 190;6 766;2 729;1 015;7 810;97;73;38;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21 880 998;22 349 556;895 933;179 187;26 878;1 364 491;11;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;157 401;155 792;740 315;731 312;3 000;3 000;9 003;810 675;374 380;34 942;62;30 700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 444;3;33;67 674;426 916;3 646;2;840;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;74;1;0;0;7 575;3;20 731;5;0;0;0;0;0;0;10 894;3;0;0;1 684;1;254;1;0;0;12 691;9;0;0;0;0;0;0;2;1;0;0;5 730 335;919;66 458;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31 480;18;3 000;1;0;0;1 708 402;5;0;0;0;0;0;0;0;0;0;0;1 441 030;9;5 989;1;5 222;1;0;0;0;0;66 524;33;1 390;4;103 147;66;2 382;1;0;0;0;0;52 043;7;14 312;4;0;0;31 076;5;2 527;14;0;0;0;0;0;0;0;0;0;0;4 688;4;0;0;0;0;34 835;4;851;1;6 503;2;0;0;0;0;0;0;4 808;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 640;12;0;0;31 745;38;0;0;17 216;82;0;0;0;0;18 411;6;0;0;2 076;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Мордовия;310 944 313;65 053 019;18 641 383;4 960 894;299 541 621;66 344 266;18 960 794;9 566 465;201 226;59 754;186 455;5 413;15 206;0;11 088 701;231 606;94;10 857 096;5 842 475;2 127 898;325 700;0;381 745;57 927;235 687;12 273;33 560;1 838;46 322;43 521;7;0;0;0;0;0;0;3 634 515;26 069 388;2 575;292;895;369;784;891;551 410;5 156;501 876;3 864;49 533;1 292;9 907;259;1 486;39;82;0;38;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28 924 081;25 695 748;3 338 397;667 230;100 079;110 064;54;6;108 013;100 326;6 058;0;1 212;182;1;0;2;1;0;0;0;0;0;0;1 109;602;4 494 644;4 488 815;0;0;5 851;720 001;556 441;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;2 736;0;0;0;0;0;0;0;0;6 766;7;49;64 522;1 528 549;75;1;0;0;0;0;0;0;0;0;0;0;115;1;0;0;0;0;0;0;0;0;0;0;0;0;833 266;2;0;0;0;0;0;0;0;0;47;1;0;0;0;0;1 299;2;3 603;2;2 924;5;7 176;12;0;0;1 729;1;2 859;2;11 029;5;51;2;4 689;2;103;1;0;0;7 702;12;0;0;0;0;0;0;291;1;100;1;10 581 796;1 010;112 359;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 954;10;0;0;0;0;432 554;1;0;0;0;0;0;0;0;0;0;0;791 987;4;257 112;1;0;0;0;0;0;0;384 847;66;42 518;4;127 053;67;0;0;0;0;0;0;10 794;4;567 358;37;74 535;8;0;0;2 433;4;0;0;5 335;1;0;0;27 878;4;717;2;10 913;10;0;0;530;1;4 477;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;1;0;0;1 496;5;0;0;74 454;2;20 849;6;0;0;7 309;7;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Саха (Якутия);636 421 236;81 058 970;125 433 312;36 857 219;492 999 957;95 788 768;82 248 362;32 340 270;548 220;26 845;23 577 827;141 312;321 435;357;163 275 859;7 027 653;82;156 248 208;10 332 739;31 016 165;4 682 993;123 261;4 649 700;698 273;820 993;67 152;125 168;10 073;1 405 531;228 995;6;0;0;0;0;0;120;26 430 520;32 245 941;2 436;634;1 535;425;1 051;475;1 094 546;241 451;1 011 833;186 845;63 749;63 492;12 750;12 698;1 912;1 905;4 552;8 885;120;6;9;1;2 152 088;2 350 866;16 847 127;2 745 728;946 244;16 012 934;10 544;1 404 622;847 952;0;0;0;2 109;280 924;169 590;316;42 139;25 439;604 183;0;14 498;2;1;9;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71 606;66 458;5 205;1 034;45;57;6;2;1 636 043;1 577 561;58 481;0;11 695;1 755;5;0;2;14;0;0;0;0;0;0;16 423 030;12 251 786;1 254 705;2 984 755;0;0;20 657;57 212 351;1 448 369;2 665;23 434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128 218;4;51;1 467 285;11 635 910;0;0;0;0;25 463;2;0;0;1 232;1;0;0;237 472;3;190 975;3;0;0;0;0;0;0;266 164;1;0;0;55 619;3;0;0;0;0;0;0;0;0;3 868;1;0;0;258 342;1;9 430;6;12 515;5;11 566;5;314 602;17;0;0;0;0;1 938 769;2;391 292;8;17 388;7;28 562;6;56 738;2;674;2;242 443;20;0;0;0;0;0;0;0;0;6 158 542;1;33 116 591;993;1 098 375;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51 116;33;146 142;3;0;0;3 434 145;15;0;0;0;0;0;0;0;0;0;0;4 132 719;17;214 027;1;0;0;0;0;0;0;3 029 599;82;448 064;18;2 134 774;45;245;1;0;0;0;0;768 045;11;1 444 211;31;543 538;31;6 148;3;52 634;12;0;0;124 889;3;0;0;0;0;1 429;3;30 934;17;0;0;0;0;34 654;9;18 350;1;7 363;1;0;0;0;0;0;0;10 615;1;0;0;0;0;85;1;0;0;0;0;0;0;0;0;0;0;34 694;27;0;0;0;0;0;0;25 982;8;962;1;816 030;4;12 741;1;0;0;16 699;2;0;0;0;0;799 202;0;1 733 313;0;105 400;0;0;0;105 400;0;0;0;21 080;0;0;0;21 080;0;17;0
Республика Северная Осетия-Алания;61 038 296;8 048 514;2 176 955;412 741;57 720 132;9 356 428;2 722 634;834 055;21 608;117 802;182;0;0;0;3 523 878;262 883;19;3 260 995;1 611 424;651 827;97 717;0;80 732;12 125;31 463;2 806;4 756;418;52 577;273;1;0;0;0;0;0;0;3 631 206;3 090 558;833;147;900;416;713;3;965 054;0;934 254;0;52 124;0;10 425;0;1 564;0;21 324;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98 234;130 149;2 349;470;71;34 264;5;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24 551;80 955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 060;1;2;1 986;113 062;0;0;3 190;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 530 619;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 988;3;0;0;0;0;127 091;1;0;0;0;0;0;0;0;0;0;0;11 680;1;0;0;0;0;0;0;0;0;10 618;15;5 102;1;7 264;9;0;0;355;1;0;0;98 385;9;18 163;3;19 827;2;0;0;200;1;0;0;4 750;1;0;0;0;0;0;0;155;1;0;0;0;0;1 550;2;1 230;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;1;0;0;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Татарстан;5 031 606 677;1 013 985 524;393 618 972;376 432 982;4 668 055 450;1 042 482 378;275 014 850;477 122 639;4 285 886;680 849;62 669 555;13 246 012;4 209 104;6 085;420 581 189;12 378 715;588;408 202 476;141 376 101;81 342 634;12 222 962;103 946;11 049 172;1 657 369;2 661 980;183 849;447 294;27 715;2 475 743;9 359;9;17 740;270 727;28;0;0;82;51 169 324;343 661 024;29 526;2 805;14 534;4 130;10 596;540;9 311 495;35 514;8 415 401;29 266;948 326;6 248;189 665;1 250;28 450;187;52 229;0;220;7;11;0;0;0;12 500 470;0;0;13 057 688;0;0;96 726;0;0;4 836;0;0;14 508;0;0;2 902;0;0;653 941;0;0;11;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73 555 341;70 176 227;6 098 744;1 219 749;182 959;2 719 630;165;32;7 152 676;6 526 554;696 778;392 112;139 356;20 903;22;4;23;8;0;0;0;0;0;0;23 388 484;22 952 245;206 458 579;206 569 281;0;0;1 274 920;63 312 512;17 803 169;13 195 059;180 477;44 158;8 000;83;0;1 887 790;0;12 617;0;0;0;0;199 555;568;0;180 845;0;0;250 938;0;0;0;193 519;1 451 916;34;401;3 696 714;27 601 548;62 639;3;10 378;5;1 452;1;0;0;0;0;0;0;457 378;16;174 530;5;0;0;4 385 452;2;0;0;15 299;1;0;0;3 724 612;13;0;0;0;0;0;0;0;0;18 915;8;0;0;42 614;1;141 350;23;52 824;21;600 212;43;390 086;119;3 238 293;11;232 781;30;446 919;82;1 270 125;139;65 205;54;60 494;26;43 031;11;31 773;16;478 142;184;0;0;0;0;0;0;9 319;3;7 408;5;134 182 832;8 905;6 768 488;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;695 978;2;0;0;0;0;0;0;0;0;0;0;696 326;62;84 573;4;0;0;6 455 716;14;730 009;1;537 700;9;2 708;1;0;0;0;0;9 213 525;38;30 729 123;7;3 441 632;12;0;0;0;0;63 660 096;90;239 441;21;6 411 297;166;0;0;0;0;0;0;1 770 957;27;67 592 467;53;1 034 301;17;47 119;5;295 021;63;0;0;812 244;17;0;0;1 157;6;25 313;16;3 479;8;16 454;2;0;0;1 702;4;824;3;3 178;4;0;0;0;0;0;0;4 583;5;0;0;0;0;4 899;1;0;0;0;0;0;0;0;0;0;0;178 393;30;0;0;98 379;3;0;0;100 593;157;0;0;62 240;3;7 010;5;0;0;10 646;6;0;0;0;0;77 282;0;3 829 857;0;0;0;0;0;0;0;0;0;0;0;108 095;0;0;0;31;1
Республика Тыва;32 925 888;6 925 620;2 717 344;1 208 405;30 092 838;8 568 444;2 245 307;1 151 456;15 144;2 499;800 000;0;0;0;2 520 231;101 102;4;2 419 129;1 583 375;483 825;72 574;0;240 808;36 120;28 981;1 254;4 382;189;20 220;0;0;0;0;0;0;0;0;4 300 434;7 556 127;321;67;869;49;171;215;42 944;0;41 486;0;1 458;0;292;0;44;0;0;0;2;0;0;0;14 071 085;0;0;8 356 497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 831;11 492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10 165;903 702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;830;1;0;0;102;1;613;1;0;0;0;0;0;0;566;1;0;0;0;0;0;0;0;0;2 237;2;0;0;0;0;0;0;0;0;0;0;1 855 938;73;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 410;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 324;2;0;0;0;0;0;0;0;0;0;0;0;0;6 133;2;0;0;0;0;70;1;0;0;0;0;0;0;0;0;325;1;42 187;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Удмуртская Республика;954 132 719;98 999 152;164 436 563;6 743 284;876 825 864;112 247 400;104 968 989;10 555 453;242 709;104 956;51 066 060;1 489 441;50 901;325;85 973 385;2 280 857;242;83 692 531;18 427 807;16 645 515;2 510 544;15 247;2 133 201;321 082;648 153;156 808;92 694;23 426;456 171;92 333;28;0;0;0;0;0;0;20 149 052;33 231 541;9 515;1 001;3 308;1 487;2 554;61;3 023 174;26 267;2 633 329;25 012;389 705;1 255;77 941;251;11 691;38;0;0;171;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14 607 175;13 720 636;1 107 308;221 460;33 219;220 769;32;7;19 384;20 237;0;854;0;0;3;2;4;0;0;0;0;0;0;0;1 458 279;1 450 063;6 134 720;5 957 407;915 526;820 000;90 625;4 226 608;426 353;46;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;52 011;12;127;347 807;3 056 933;600;1;4 920;2;1 600;1;0;0;0;0;0;0;55 355;6;0;0;0;0;0;0;0;0;22 988;2;0;0;1 313;1;0;0;0;0;0;0;464 998;1;3 282;4;0;0;0;0;12 438;14;8 518;3;20 793;19;133 858;54;0;0;0;0;118 334;13;188 643;36;72 122;20;39 776;21;19 759;6;2 513;2;129 254;69;0;0;0;0;0;0;427;1;340;1;19 541 412;2 873;302 620;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41 935;25;8 408;1;0;0;6 052 872;15;0;0;12 265;3;0;0;0;0;0;0;4 209 275;23;0;0;181 134;5;0;0;0;0;80 104;43;79 087;7;146 378;184;0;0;0;0;0;0;280 161;16;738 410;93;116 154;133;19 911;2;50 539;142;0;0;0;0;0;0;966;2;11 632;26;6 903;7;0;0;0;0;11 016;3;12 601;5;14 683;2;0;0;44;1;0;0;0;0;0;0;162;1;19;1;0;0;0;0;0;0;0;0;0;0;210 560;65;74;1;62 043;12;0;0;36 852;67;0;0;79 216;1;46 569;14;0;0;8 202;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Республика Хакасия;180 205 981;21 181 383;9 693 832;2 768 191;168 533 334;22 878 272;7 360 139;4 003 575;74 820;6 351;1 201 569;0;38;3 165;12 884 064;1 270 338;39;11 613 726;2 928 885;2 307 376;348 396;0;304 478;45 752;100 498;3 261;15 645;490;254 068;14 713;2;0;0;0;0;0;0;1 692 750;8 229 795;1 385;188;1 038;126;320;17;728 528;1 413;702 195;1 413;26 333;0;5 267;0;790;0;0;0;82;1;0;0;0;6 637 421;0;0;4 552 733;0;0;1 717 815;0;0;292 029;0;0;51 534;0;0;51 534;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231 861;233 313;28 642;5 729;859;30 094;9;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;122 135;117 428;0;0;4 707;4 338 094;621 498;139 562;0;130 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 847;0;0;0;0;297;1;34;60 436;1 571 649;0;0;102;1;0;0;0;0;0;0;0;0;687 162;1;89 195;2;0;0;0;0;0;0;210 989;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14 253;8;59 448;1;1 966;8;12 016;9;576;1;0;0;840;1;15 529;8;1 304;4;16 499;1;11 908;1;0;0;28 581;9;0;0;0;0;0;0;0;0;0;0;4 487 438;478;1 387;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13 427;22;0;0;0;0;594 255;2;0;0;0;0;0;0;0;0;0;0;2 453 938;12;0;0;2 345;5;0;0;0;0;29 577;33;36 798;2;263 025;74;0;0;0;0;0;0;328 423;50;644 621;67;2 607 877;109;28 406;1;12 012;6;0;0;1 076 257;2;0;0;4 949;3;2 424;7;242;2;0;0;0;0;105;1;0;0;34;1;0;0;0;0;0;0;0;0;0;0;1 941;1;0;0;0;0;0;0;0;0;0;0;0;0;2 865;5;0;0;26 013;6;0;0;4 942;5;0;0;73 301;2;90;1;1 284;1;5 018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чеченская Республика;137 459 941;14 872 626;3 386 900;1 932 792;135 488 147;20 609 921;2 462 235;2 164 675;29 993;1 476;0;0;0;0;2 926 454;60 259;7;2 866 195;5 967 701;569 682;82 454;64;74 187;10 496;46 711;39;8 422;6;12 051;1 314;7;0;0;0;0;0;0;945 371;6 745 886;915;78;1 037;881;1 201;1;603 890;0;540 091;0;78 456;0;15 691;0;2 354;0;14 658;0;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 489 486;1 598 985;890 501;178 100;26 715;0;8;0;23 997;24 361;0;364;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 252 970;143;17 637;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 250;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13 708;1;0;0;0;0;0;0;0;0;1 019;2;3 570;1;52 500;3;0;0;0;0;0;0;830;1;340;1;8 644;1;361;1;0;0;0;0;0;0;0;0;0;0;430;1;0;0;0;0;0;0;2 963;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чувашская Республика;344 057 912;54 127 333;13 724 843;5 683 791;317 705 343;59 417 512;12 779 761;17 671 903;151 007;76 929;1 717 656;1 366 791;44 920;0;25 691 503;519 069;188;25 172 434;18 567 033;5 034 359;755 123;119;830 892;124 565;243 157;4 463;36 417;658;103 812;127;2;0;0;0;0;0;0;3 290 020;78 093 764;4 952;392;1 565;530;883;214;2 493 266;14 258;2 334 666;13 060;159 550;1 198;31 910;240;4 786;36;951;0;92;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 499 380;2 307 032;210 639;42 127;6 320;18 291;12;1;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;283 938;287 039;1 540 564;1 545 512;0;0;6 532;2 937 891;2 462 960;0;721;0;17 177;0;0;0;0;0;0;0;0;0;108 900;1 100;0;0;0;0;0;0;0;0;0;368 754;17;107;137 824;1 152 363;1 276;2;739;2;0;0;0;0;0;0;0;0;103;1;0;0;0;0;0;0;0;0;0;0;0;0;15 818;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 371;6;2 574;5;85 495;7;12 588;18;60;1;0;0;383;1;17 801;10;337;6;108;3;111;1;0;0;9 522;21;0;0;0;0;0;0;0;0;0;0;8 052 676;1 871;37 629;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67 866;9;0;0;0;0;5 860 448;16;0;0;0;0;0;0;0;0;0;0;2 354 636;10;2 035 520;1;69 420;7;0;0;0;0;169 645;86;4 683;1;48 718;45;28 353;4;0;0;0;0;655;2;5 599;4;3 724;5;147 994;3;46 858;14;0;0;2 341 334;5;0;0;463;3;19 123;16;8 068;8;0;0;0;0;2 244;7;15 176;1;1 056;1;0;0;0;0;0;0;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174 214;8;0;0;25 748;2;435;2;3 367;2;84;1;0;0;0;0;103;0;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
