"field name","english description","russian description","format"
"G62","OKVED code H 50: water transport activities","Код по ОКВЭД H 50 деятельность водного транспорта","integer"
"G63"," OKVED code H 51: air and space transport activities","Код по ОКВЭД H 51 деятельность воздушного и космического транспорта","integer"
"G64"," OKVED code H 52: warehousing and auxiliary transport activities","Код по ОКВЭД H 52 складское хозяйство и вспомогательная транспортная деятельность","integer"
"G65"," OKVED code H 53: postal and courier activities","Код по ОКВЭД H 53 деятельность почтовой связи и курьерская деятельность","integer"
"G66"," OKVED code I 55-56 Activities of hotels and catering establishments - total","Код по ОКВЭД I 55-56 Деятельность гостиниц и предприятий общественного питания - всего","integer"
"G67"," OKVED code I 55.1 activities of hotels and other places for temporary accommodation","Код по ОКВЭД I 55.1 деятельность гостиниц и прочих мест  для временного проживания","integer"
"G68"," OKVED code J 58-63 Activities in the field of information and communication - total","Код по ОКВЭД J 58-63 Деятельность в области информации и связи - всего","integer"
"G69","OKVED code J 58: publishing activity","Код по ОКВЭД J 58 деятельность издательская","integer"
"G70"," OKVED code J 61: activities in the field of telecommunications","Код по ОКВЭД J 61 деятельность в сфере телекоммуникаций","integer"
"G71"," OKVED code K 64-66 Financial and insurance activities – total","Код по ОКВЭД K 64-66 Деятельность финансовая и страховая – всего","integer"
"G72"," OKVED code K 64: activity in the provision of financial services, except for insurance and pension services","Код по ОКВЭД K 64 деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и  пенсионному обеспечению","integer"
"G73"," OKVED code K 65: insurance, reinsurance, activities of non-state pension funds, except for compulsory social security","Код по ОКВЭД K 65 страхование, перестрахование, деятельность негосударственных пенсионных фондов, кроме обязательного социального обеспечения","integer"
"G74"," OKVED code K 66: activities auxiliary to financial services and insurance","Код по ОКВЭД K 66 деятельность вспомогательная в сфере финансовых услуг и страхования","integer"
"G75","OKVED code L 68 Activities related to real estate transactions","Код по ОКВЭД L 68 Деятельность по операциям с недвижимым имуществом","integer"
"G76"," OKVED code M 69-75 Professional, scientific and technical activities","Код по ОКВЭД M 69-75 Деятельность профессиональная, научная и техническая","integer"
"G77"," OKVED code No. 77-82 Administrative activities and related additional services","Код по ОКВЭД N 77-82 Деятельность административная и сопутствующие дополнительные услуги","integer"
"G78"," OKVED code No. 77-11: rental and leasing of passenger cars and light commercial vehicles","Код по ОКВЭД N 77-11 аренда и лизинг легковых автомобилей и     легковых автотранспортных средств","integer"
"G79"," OKVED code O 84 Public administration and military security; social security","Код по ОКВЭД O 84 Государственное управление и обеспечение военной безопасности; социальное обеспечение","integer"
"G80"," OKVED code P 85 Education","Код по ОКВЭД P 85 Образование","integer"
"G81"," OKVED code Q 86-88 Activities in the field of health care and social services","Код по ОКВЭД Q 86-88 Деятельность в области здравоохранения и социальных услуг","integer"
"G82","OKVED code R 90-93 Activities in the field of culture, sports, organization of leisure and entertainment - total","Код по ОКВЭД R 90-93 Деятельность в области культуры, спорта, организации досуга и развлечений- всего","integer"
"G83"," OKVED code R 93: activities in the field of sports, recreation and entertainment","Код по ОКВЭД R 93 деятельность в области спорта, отдыха и  развлечений","integer"
"G84"," OKVED code S 94-96 Provision of other types of services","Код по ОКВЭД S 94-96 Предоставление прочих видов услуг","integer"
"G85"," OKVED code S 95: repair of computers, personal and household goods","Код по ОКВЭД S 95 ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения","integer"
"G86"," OKVED code S 96 Activities for the provision of other personal services","Код по ОКВЭД S 96 Деятельность по предоставлению прочих персональных услуг","integer"
"G87"," OKVED code T 97-98 Other types of economic activity","Код по ОКВЭД T 97-98  Остальные виды экономической деятельности","integer"
"G88"," Amounts of taxes and fees not distributed by OKVED codes","Суммы налогов и сборов, не распределенные по кодам ОКВЭД","integer"
"G89","Information on individuals who are not sole proprietors and do not have an OKVED code","Сведения по физическим лицам, не относящимся к индивидуальным предпринимателям и не имеющим код ОКВЭД","integer"
