"field name","english description","russian description","format"
"G10","Number of vehicles for which the tax payable is calculated, for land vehicles - Passenger cars with an engine power of over 150 hp to 200 hp (over 110.33 kW to 147.1 kW) inclusive","Количество транспортных средств, в отношении которых  исчислен налог к уплате, по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно","integer"
"G11","Number of vehicles for which the tax payable is calculated, for land vehicles - Passenger cars with an engine power of over 200 hp to 250 hp (over 147.1 kW to 183.9 kW) inclusive","Количество транспортных средств, в отношении которых  исчислен налог к уплате, по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно","integer"
"G12","Number of vehicles for which tax payable is calculated, for land vehicles - Passenger cars with engine power over 250 hp (over 183.9 kW)","Количество транспортных средств, в отношении которых  исчислен налог к уплате, по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 250 л.с. (свыше 183,9 кВт)","integer"
"G13","The number of vehicles for which the tax payable is calculated, for land vehicles, including taking into account the increasing coefficient “3” established by paragraph 2 of Article 362 of the Tax Code of the Russian Federation","Количество транспортных средств, в отношении которых  исчислен налог к уплате, по наземным транспортным средствам в том числе с учетом повышающего коэффициента «3», установленного п. 2 статьи 362 НК РФ","integer"
"G14","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Motorcycles and scooters with an engine capacity of up to 20 hp (up to 14.7 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя до 20 л.с. (до 14,7 кВт) включительно","integer"
"G15","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Motorcycles and scooters with an engine power of over 20 hp up to 35 hp (over 14.7 kW up to 25.74 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя свыше 20 л.с. до 35 л.с. (свыше 14,7 кВт до 25,74 кВт) включительно","integer"
"G16","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Motorcycles and scooters with an engine power of over 35 hp (over 25.74 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя свыше 35 л.с. (свыше 25,74 кВт)","integer"
"G17","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Buses with an engine capacity of up to 200 hp (up to 147.1 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автобусы с мощностью двигателя до 200 л.с. (до 147,1 кВт) включительно","integer"
"G18","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Buses with an engine capacity of over 200 hp (over 147.1 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автобусы с мощностью двигателя свыше 200 л.с. (свыше 147,1 кВт)","integer"
"G19","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Trucks with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G20","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Trucks with an engine capacity of over 100 hp to 150 hp (over 73.55 kW to 110.33 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно","integer"
"G21","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Trucks with an engine capacity of over 150 hp to 200 hp (over 110.33 kW to 147.1 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно","integer"
"G22","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Trucks with an engine capacity of over 200 hp to 250 hp (over 147.1 kW to 183.9 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно","integer"
"G23","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Trucks with an engine capacity of over 250 hp (over 183.9 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 250 л.с. (свыше 183,9 кВт)","integer"
"G24","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Other self-propelled vehicles, machines and mechanisms on pneumatic and tracked tracks","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Другие самоходные транспортные средства, машины и механизмы на пневматическом и гусеничном ходу","integer"
"G25","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Snowmobiles, snowmobiles with an engine capacity of up to 50 hp (up to 36.77 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Снегоходы, мотосани с мощностью двигателя до 50 л.с. (до 36,77 кВт) включительно","integer"
"G26","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Snowmobiles, snowmobiles with an engine power of over 50 hp (over 36.77 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Снегоходы, мотосани с мощностью двигателя свыше 50 л.с. (свыше 36,77 кВт)","integer"
"G27","Number of vehicles for which the taxpayer has calculated the tax payable, for land vehicles - Snowmobiles, snowmobiles registered with the State Traffic Safety Inspectorate of the Ministry of Internal Affairs of Russia","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате, по наземным транспортным средствам - Снегоходы, мотосани зарегистрированные  в подразделениях Госавтоинспекции МВД России","integer"
"G28","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Boats, motorboats and other watercraft with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G29","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Boats, motorboats and other watercraft with an engine capacity of over 100 hp (over 73.55 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G30","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Yachts and other sailing and motor vessels with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Яхты и другие парусно-моторные суда с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G31","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Yachts and other sailing and motor vessels with an engine capacity of over 100 hp (over 73.55 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Яхты и другие парусно-моторные суда с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G32","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Jet skis with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Гидроциклы с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G33","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Jet skis with an engine power of over 100 hp (over 73.55 kW)","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Гидроциклы с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G34","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Non-self-propelled (towed) vessels for which the gross tonnage is determined","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Несамоходные (буксируемые) суда, для которых определяется валовая вместимость","integer"
"G35","Number of vehicles for which the taxpayer has calculated the tax payable on watercraft - Other watercraft","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по водным транспортным средствам - Иные водные транспортные средства","integer"
"G36","Number of vehicles for which the taxpayer has calculated the tax payable on air transport vehicles","Количество транспортных средств, в отношении которых  налогоплательщиком исчислен налог к уплате по воздушным транспортным средствам","integer"
"G37","Amount of tax payable to the budget for land vehicles - Passenger cars with engine power up to 100 hp (up to 73.55 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили легковые с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G38","Amount of tax payable to the budget for land vehicles - Passenger cars with engine power over 100 hp to 150 hp (over 73.55 kW to 110.33 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно","integer"
"G39","Amount of tax payable to the budget for land vehicles - Passenger cars with engine power over 150 hp to 200 hp (over 110.33 kW to 147.1 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно","integer"
"G40","Amount of tax payable to the budget for land vehicles - Passenger cars with engine power over 200 hp to 250 hp (over 147.1 kW to 183.9 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно","integer"
"G41","Amount of tax payable to the budget for land vehicles - Passenger cars with engine power over 250 hp (over 183.9 kW)","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили легковые с мощностью двигателя свыше 250 л.с. (свыше 183,9 кВт)","integer"
"G42","The amount of tax payable to the budget for land vehicles, including taking into account the increasing coefficient “3” established by paragraph 2 of Article 362 of the Tax Code of the Russian Federation","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам в том числе с учетом повышающего коэффициента «3», установленного п. 2 статьи 362 НК РФ","integer"
"G43","Amount of tax payable to the budget for land vehicles - Motorcycles and scooters with an engine power of up to 20 hp (up to 14.7 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя до 20 л.с. (до 14,7 кВт) включительно","integer"
"G44","Amount of tax payable to the budget for land vehicles - Motorcycles and scooters with an engine power of over 20 hp to 35 hp (over 14.7 kW to 25.74 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя свыше 20 л.с. до 35 л.с. (свыше 14,7 кВт до 25,74 кВт) включительно","integer"
"G45","Amount of tax payable to the budget for land vehicles - Motorcycles and scooters with an engine power of over 35 hp (over 25.74 kW)","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Мотоциклы и мотороллеры с мощностью двигателя свыше 35 л.с. (свыше 25,74 кВт)","integer"
"G46","Amount of tax payable to the budget for land vehicles - Buses with engine power up to 200 hp (up to 147.1 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автобусы с мощностью двигателя до 200 л.с. (до 147,1 кВт) включительно","integer"
"G47","Tax amount payable to the budget for land vehicles - Buses with engine power over 200 hp (over 147.1 kW)","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автобусы с мощностью двигателя свыше 200 л.с. (свыше 147,1 кВт)","integer"
"G48","Amount of tax payable to the budget for land vehicles - Trucks with engine power up to 100 hp (up to 73.55 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G49","Amount of tax payable to the budget for land vehicles - Trucks with engine power over 100 hp to 150 hp (over 73.55 kW to 110.33 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно","integer"
"G50","Amount of tax payable to the budget for land vehicles - Trucks with engine power over 150 hp to 200 hp (over 110.33 kW to 147.1 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно","integer"
"G51","Amount of tax payable to the budget for land vehicles - Trucks with engine power over 200 hp to 250 hp (over 147.1 kW to 183.9 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно","integer"
"G52","Amount of tax payable to the budget for land vehicles - Trucks with engine power over 250 hp (over 183.9 kW)","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Автомобили грузовые с мощностью двигателя свыше 250 л.с. (свыше 183,9 кВт)","integer"
"G53","The amount of tax payable to the budget for land vehicles - Snowmobiles, snowmobiles with an engine capacity of up to 50 hp (up to 36.77 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Снегоходы, мотосани с мощностью двигателя до 50 л.с. (до 36,77 кВт) включительно","integer"
"G54","The amount of tax payable to the budget for land vehicles - Snowmobiles, snowmobiles with an engine power of over 50 hp (over 36.77 kW)","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам - Снегоходы, мотосани с мощностью двигателя свыше 50 л.с. (свыше 36,77 кВт)","integer"
"G55","The amount of tax payable to the budget for land vehicles registered in the State Traffic Safety Inspectorate of the Ministry of Internal Affairs of Russia","Сумма налога, подлежащая уплате в бюджет по наземным транспортным средствам зарегистрированные  в подразделениях Госавтоинспекции МВД России","integer"
"G56","Amount of tax payable to the budget for watercraft - Boats, motorboats and other watercraft with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G57","Amount of tax payable to the budget for watercraft - Boats, motorboats and other watercraft with an engine capacity of over 100 hp (over 73.55 kW)","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G58","The amount of tax payable to the budget for watercraft - Yachts and other sailing and motor vessels with an engine capacity of up to 100 hp (up to 73.55 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Яхты и другие парусно-моторные суда с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G59","Amount of tax payable to the budget for watercraft - Yachts and other sailing and motor vessels with an engine power of over 100 hp (over 73.55 kW)","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Яхты и другие парусно-моторные суда с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G60","Amount of tax payable to the budget for watercraft - Jet skis with engine power up to 100 hp (up to 73.55 kW) inclusive","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Гидроциклы с мощностью двигателя до 100 л.с. (до 73,55 кВт) включительно","integer"
"G61","Amount of tax payable to the budget for watercraft - Jet skis with an engine power of over 100 hp (over 73.55 kW)","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Гидроциклы с мощностью двигателя свыше 100 л.с. (свыше 73,55 кВт)","integer"
"G62","Amount of tax payable to the budget for water transport vehicles - Non-self-propelled (towed) vessels for which gross tonnage is determined","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Несамоходные (буксируемые) суда, для которых определяется валовая вместимость","integer"
"G63","Amount of tax payable to the budget for water transport vehicles - Other water transport vehicles","Сумма налога, подлежащая уплате в бюджет по водным транспортным средствам - Иные водные транспортные средства","integer"
"G64","Amount of tax payable to the budget for air transport vehicles","Сумма налога, подлежащая уплате в бюджет по воздушным транспортным средствам","integer"
"G65","The amount of tax not received by the budget due to the provision of tax benefits (exemption from tax payment) to taxpayers, benefits established by subparagraph 4 of paragraph 3 of Article 356.1 of the Tax Code of the Russian Federation","Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот (освобождением от уплаты налога), льгот, установленных пп. 4 п. 3 ст. 356.1 НК РФ","integer"
"G66","The amount of tax not received by the budget due to the provision of tax benefits (exemption from tax payment) to taxpayers, benefits established in accordance with Art. 7 of the Tax Code of the Russian Federation and international treaties of the Russian Federation","Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот (освобождением от уплаты налога),  льгот, установленных в соответствии со ст.7 НК РФ международными договорами Российской Федерации","integer"
"G67","The amount of tax not received by the budget due to the provision of tax benefits (exemption from tax payment) to taxpayers, benefits established by the legislation of the constituent entities of the Russian Federation","Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот (освобождением от уплаты налога),  льгот, установленных законодательством субъектов Российской Федерации","integer"
